"Function","Attribute","Value","Type"
"fleet_battery_flow_f","fleet","","Implicit"
"fleet_fuel_u_f","fleet","","Implicit"
"fleet_initialize_f","mode","","Implicit"
"fleet_initialize_f","first_yr",,"Explicit"
"fleet_initialize_f","last_yr",,"Explicit"
"fleet_lca_demand_matrix_f","fleet","","Implicit"
"fleet_lca_demand_matrix_f","first_yr",,"Explicit"
"fleet_lca_demand_matrix_f","last_yr",,"Explicit"
"fleet_lca_demand_matrix_f","fast_mode","n","Run"
"fleet_lca_env_matrix_f","mode","","Implicit"
"fleet_lca_env_matrix_f","first_yr",,"Explicit"
"fleet_lca_env_matrix_f","last_yr",,"Explicit"
"fleet_lca_env_matrix_f","ef_elec_scen",,"Explicit"
"fleet_lca_env_matrix_f","fast_mode","n","Run"
"fleet_lca_ghg_f","fleet","","Implicit"
"fleet_lca_ghg_f","fast_mode","n","Run"
"fleet_module_f","mode","","Implicit"
"fleet_on_road_emissions_f","fleet","","Implicit"
"fleet_stock_proj_f","fleet","","Implicit"
"fleet_stock_proj_f","last_yr",,"Explicit"
"fleet_technology_market_share_proj_f","fleet","","Implicit"
"fleet_technology_market_share_proj_f","last_yr",,"Explicit"
"fleet_technology_market_share_proj_f","techno_ms_proj_car",,"Explicit"
"fleet_technology_market_share_proj_f","techno_ms_proj_public_bus",,"Explicit"
"fleet_technology_market_share_proj_f","techno_ms_proj_taxi",,"Explicit"
"fleet_technology_market_share_proj_f","optimization_techno",,"Explicit"
"fleet_technology_market_share_proj_f","techno_variable",,"Explicit"
"fleet_vint_stock_f","mode","","Implicit"
"fleet_vint_stock_f","last_yr",,"Explicit"
"fleet_vint_stock_update_f","fleet","","Implicit"
"fleet_vint_stock_update_f","year","","Implicit"
"fleet_vkt_f","fleet","","Implicit"
"optimization_pathway_f","carbon_budget_mdl",,"Explicit"
"optimization_pathway_f","first_yr",,"Explicit"
"optimization_pathway_f","last_yr",,"Explicit"
"optimization_pathway_f","optimization_scen",,"Explicit"
"phev_uf_f","range_km","","Implicit"
"rapid_transit_module_f","first_yr",,"Explicit"
"rapid_transit_module_f","last_yr",,"Explicit"
"survival_rate_f","mode","","Implicit"
"survival_rate_f","age","","Implicit"
"survival_rate_f","year",,"Implicit"
"survival_rate_f","survival_rate_mdl",,"Explicit"
"survival_rate_f","scrap_policy_mdl_public_bus",,"Explicit"
"survival_rate_f","scrap_policy_mdl_taxi",,"Explicit"
"survival_rate_f","cumulative_rate","n","Implicit"
"survival_rate_f","scrappage_rate","n","Implicit"
"transport_activity_f",,,
"transport_activity_initialize_f","first_yr",,"Explicit"
"transport_activity_initialize_f","last_yr",,"Explicit"
"transport_activity_proj_f","transport","","Implicit"
"transport_activity_proj_f","first_yr",,"Explicit"
"transport_activity_proj_f","last_yr",,"Explicit"
"transport_activity_proj_f","pkt_proj_tot_scen",,"Explicit"
"transport_activity_proj_f","pkt_tot_variable",,"Explicit"
"transport_activity_proj_f","pkt_proj_modal_share_scen",,"Explicit"
"transport_activity_proj_f","modal_share_variable",,"Explicit"
"transport_fuel_use_f",,,
"transport_lca_ghg_f",,,
"transport_lca_ghg_target_f","carbon_budget_mdl",,"Explicit"
"transport_on_road_emissions_f",,,
"transport_priv_veh_hist_f","transport","","Implicit"
"transport_priv_veh_hist_f","first_yr",,"Explicit"
"transport_priv_veh_load_factors_f","transport","","Implicit"
"transport_priv_veh_load_factors_f","first_yr",,"Explicit"
"transport_public_transit_hist_f","transport","","Implicit"
"transport_public_transit_hist_f","first_yr",,"Explicit"
"transport_public_transit_hist_kt_per_veh_f","transport","","Implicit"
"transport_public_transit_hist_kt_per_veh_f","first_yr",,"Explicit"
"transport_veh_pop_f",,,
"vehicle_ef_proj_f","vehicle","","Implicit"
"vehicle_ef_proj_f","last_yr",,"Explicit"
"vehicle_ef_proj_f","fc_proj_scen",,"Explicit"
"vehicle_ef_proj_f","optimization_fc_mode",,"Explicit"
"vehicle_ef_proj_f","optimization_fc_techno",,"Explicit"
"vehicle_ef_proj_f","fc_variable",,"Explicit"
"vehicle_fc_proj_f","vehicle","","Implicit"
"vehicle_fc_proj_f","last_yr",,"Explicit"
"vehicle_fc_proj_f","fc_proj_scen",,"Explicit"
"vehicle_fc_proj_f","optimization_fc_mode",,"Explicit"
"vehicle_fc_proj_f","optimization_fc_techno",,"Explicit"
"vehicle_fc_proj_f","fc_variable",,"Explicit"
"vehicle_hist_ef_f","vehicle","","Implicit"
"vehicle_hist_ef_f","first_yr",,"Explicit"
"vehicle_hist_ef_f","last_yr",,"Explicit"
"vehicle_hist_fc_f","vehicle","","Implicit"
"vehicle_hist_fc_f","first_yr",,"Explicit"
"vehicle_hist_fc_f","last_yr",,"Explicit"
"vehicle_initialize_f","mode","","Implicit"
"vehicle_initialize_f","technology","","Implicit"
"vehicle_initialize_f","first_yr",,"Explicit"
"vehicle_initialize_f","last_yr",,"Explicit"
"vehicle_lca_demand_f","mode","","Implicit"
"vehicle_lca_demand_f","technology","","Implicit"
"vehicle_lca_demand_f","model_year","","Implicit"
"vehicle_lca_demand_f","first_yr",,"Explicit"
"vehicle_lca_demand_f","last_yr",,"Explicit"
"vehicle_lca_ghg_f",,,
"vehicle_module_f",,,
"vehicle_on_road_emissions_f",,,
