"Function","Attributes"
"fleet_fuel_u_f",""
"fleet_initialize_f","first_yr;last_yr"
"fleet_lca_demand_matrix_f","first_yr;last_yr"
"fleet_lca_env_matrix_f","first_yr;last_yr"
"fleet_lca_ghg_f",""
"fleet_module_f",""
"fleet_stock_proj_f","last_yr"
"fleet_technology_market_share_proj_f","last_yr"
"fleet_vint_stock_f","last_yr"
"fleet_vint_stock_update_f",""
"fleet_vkt_f",""
"get_transport_activity_f",""
"phev_uf_f",""
"rapid_transit_module_f","first_yr;last_yr"
"survival_rate_f","survival_rate_mdl"
"transport_activity_f",""
"transport_activity_initialize_f","first_yr;last_yr"
"transport_activity_proj_f","last_yr;transport_proj"
"transport_fuel_use_f",""
"transport_lca_ghg_f",""
"transport_priv_veh_hist_f","first_yr"
"transport_priv_veh_load_factors_f","first_yr"
"transport_public_transit_hist_f","first_yr"
"transport_public_transit_hist_kt_per_veh_f","first_yr"
"transport_veh_pop_f",""
"vehicle_fc_proj_f","fc_impro;last_yr"
"vehicle_hist_fc_f","first_yr;last_yr"
"vehicle_initialize_f","first_yr;last_yr"
"vehicle_module_f",""
"vehicle_specifications_f","fc_impro;last_yr"
