Mode,Size,Technology,Fuel,Pollutant,Unit,Euro 1,Euro 2,Euro 3,Euro 4,Euro 5, Euro 6 up to 2016,Euro 6 2017 to 2019,Euro 6 2020+
Private car,Small,ICEV-G,Gasoline,NOx,g NO2 eq/km,0.426,0.229,0.09,0.056,0.056,0.056,0.056,0.056
Private car,Small,ICEV-D,Diesel,NOx,g NO2 eq/km,,,,0.058,0.55,0.045,0.35,0.17
Private car,Medium,ICEV-G,Gasoline,NOx,g NO2 eq/km,0.485,0.255,0.097,0.061,0.061,0.061,0.061,0.061
Private car,Medium,ICEV-D,Diesel,NOx,g NO2 eq/km,0.69,0.716,0.773,0.58,0.55,0.45,0.35,0.17
Private car,SUV,ICEV-G,Gasoline,NOx,g NO2 eq/km,0.242,0.091,0.059,0.059,0.059,0.059,0.059,0.059
Private car,SUV,ICEV-D,Diesel,NOx,g NO2 eq/km,0.69,0.716,0.77,0.58,0.55,0.45,0.35,0.17
Private car,Small,HEV-G,Gasoline,NOx,g NO2 eq/km,,,,0.013,0.013,0.013,0.013,0.013
Private car,Medium,HEV-G,Gasoline,NOx,g NO2 eq/km,,,,0.013,0.013,0.013,0.013,0.013
Private car,SUV,HEV-G,Gasoline,NOx,g NO2 eq/km,,,,0.013,0.013,0.013,0.013,0.013
Private car,/,HEV-D,Diesel,NOx,g NO2 eq/km,,,,,,,,
Private car,/,CNG,CNG,NOx,g NO2 eq/km,,,,0.056,0.056,0.056,0.056,0.056
Private car,/,PHEV,Gasoline,NOx,g NO2 eq/km,,,,,,,,
Private car,/,BEV,Electricity,NOx,g NO2 eq/km,0,0,0,0,0,0,0,0
Private car,Small,ICEV-G,Gasoline,NMVOC,g/km,0.206,0.089,0.048,0.048,0.048,0.048,0.048,0.048
Private car,Small,ICEV-D,Diesel,NMVOC,g/km,,,,0.014,0.01,0.01,0.01,0.01
Private car,Medium,ICEV-G,Gasoline,NMVOC,g/km,0.53,0.251,0.119,0.065,0.065,0.065,0.065,0.065
Private car,Medium,ICEV-D,Diesel,NMVOC,g/km,0.035,0.02,0.014,0.008,0.008,0.008,0.008,0.008
Private car,SUV,ICEV-G,Gasoline,NMVOC,g/km,0.196,0.088,0.048,0.048,0.048,0.048,0.048,0.048
Private car,SUV,ICEV-D,Diesel,NMVOC,g/km,0.07,0.1,0.037,0.014,0.008,0.008,0.008,0.008
Private car,Small,HEV-G,Gasoline,NMVOC,g/km,,,,0.001,0.013,0.00002,0.0328,0.0000182
Private car,Medium,HEV-G,Gasoline,NMVOC,g/km,,,,0.001,0.001,0.001,0.001,0.001
Private car,SUV,HEV-G,Gasoline,NMVOC,g/km,,,,0.001,0.001,0.001,0.001,0.001
Private car,/,HEV-D,Diesel,NMVOC,g/km,,,,,,,,
Private car,/,CNG,CNG,NMVOC,g/km,,,,0.035,0.035,0.035,0.035,0.035
Private car,/,PHEV,Gasoline,NMVOC,g/km,,,,,,,,
Private car,/,BEV,Electricity,NMVOC,g/km,0,0,0,0,0,0,0,0
