Year,Private_car,Hire_car,Motorcycle,Source
1980,152574,0,118345,Singstat.gov
1981,161692,3506,127722,Singstat.gov
1982,179635,4515,136899,Singstat.gov
1983,202092,4168,141569,Singstat.gov
1984,217119,4159,134693,Singstat.gov
1985,221279,4030,127564,Singstat.gov
1986,220566,3314,120387,Singstat.gov
1987,222487,3081,116544,Singstat.gov
1988,237801,3140,117570,Singstat.gov
1989,257371,3135,120996,Singstat.gov
1990,271174,3343,122525,Singstat.gov
1991,283746,3665,122410,Singstat.gov
1992,285500,3879,116532,Singstat.gov
1993,303864,4141,119939,Singstat.gov
1994,321556,4341,126156,Singstat.gov
1995,342245,5144,129587,Singstat.gov
1996,362142,5451,132344,Singstat.gov
1997,373345,6152,132629,Singstat.gov
1998,370804,6536,133375,Singstat.gov
1999,378024,7112,134346,Singstat.gov
2000,386780,8438,131937,Singstat.gov
2001,398787,8857,131869,Singstat.gov
2002,398166,8423,132318,Singstat.gov
2003,399923,7803,135649,Singstat.gov
2004,412015,7455,137029,Singstat.gov
2005,432827,7756,139434,Singstat.gov
2006,465482,9235,142736,Singstat.gov
2007,505987,11054,144340,Singstat.gov
2008,540455,12391,146120,Singstat.gov
2009,566608,12763,147215,Singstat.gov
2010,584399,13347,148160,Singstat.gov
2011,592361,13919,146559,Singstat.gov
2012,605149,14862,144110,Singstat.gov
2013,607292,16396,144934,Singstat.gov
2014,600176,18847,145026,Singstat.gov
2015,575353,29369,143900,Singstat.gov
2016,552427,51336,143052,Singstat.gov
2017,546706,68083,141916,Singstat.gov
2018,551575,66480,137480,Singstat.gov
