Year,Value,Units,Source
1990,287089,Privates cars,Singstat.gov
1991,289165,Privates cars,Singstat.gov
1992,307743,Privates cars,Singstat.gov
1993,325697,Privates cars,Singstat.gov
1994,346586,Privates cars,Singstat.gov
1995,367286,Privates cars,Singstat.gov
1996,378796,Privates cars,Singstat.gov
1997,376956,Privates cars,Singstat.gov
1998,384560,Privates cars,Singstat.gov
1999,393892,Privates cars,Singstat.gov
2000,407225,Privates cars,Singstat.gov
2001,407023,Privates cars,Singstat.gov
2002,408346,Privates cars,Singstat.gov
2003,419818,Privates cars,Singstat.gov
2004,419470,Privates cars,Singstat.gov
2005,440583,Privates cars,Singstat.gov
2006,474717,Privates cars,Singstat.gov
2007,517041,Privates cars,Singstat.gov
2008,552846,Privates cars,Singstat.gov
2009,579371,Privates cars,Singstat.gov
2010,597746,Privates cars,Singstat.gov
2011,606280,Privates cars,Singstat.gov
2012,620011,Privates cars,Singstat.gov
2013,623688,Privates cars,Singstat.gov
2014,619023,Privates cars,Singstat.gov
2015,604722,Privates cars,Singstat.gov
2016,603763,Privates cars,Singstat.gov
2017,614789,Privates cars,Singstat.gov
2018,618055,Privates cars,Singstat.gov
