year,vehicle_type,average_annual_mileage,unit
2005,Cars,20603,km
2005,Private Hire Buses,47540,km
2005,School Buses,46269,km
2005,Light Goods Vehicle,29248,km
2005,Heavy Goods Vehicle,38768,km
2005,Motorcycles,13711,km
2006,Cars,21100,km
2006,Private Hire Buses,49200,km
2006,School Buses,45400,km
2006,Light Goods Vehicle,29300,km
2006,Heavy Goods Vehicle,40400,km
2006,Motorcycles,13700,km
2007,Cars,20800,km
2007,Private Hire Buses,50200,km
2007,School Buses,46800,km
2007,Light Goods Vehicle,28100,km
2007,Heavy Goods Vehicle,42400,km
2007,Motorcycles,13800,km
2008,Cars,19700,km
2008,Private Hire Buses,48700,km
2008,School Buses,44000,km
2008,Light Goods Vehicle,27900,km
2008,Heavy Goods Vehicle,42000,km
2008,Motorcycles,13300,km
2009,Cars,19600,km
2009,Private Hire Buses,49400,km
2009,School Buses,47400,km
2009,Light Goods Vehicle,28000,km
2009,Heavy Goods Vehicle,41200,km
2009,Motorcycles,13200,km
2010,Cars,19100,km
2010,Private Hire Buses,51200,km
2010,School Buses,48400,km
2010,Light Goods Vehicle,28500,km
2010,Heavy Goods Vehicle,40900,km
2010,Motorcycles,13500,km
2011,Cars,19000,km
2011,Private Hire Buses,52900,km
2011,School Buses,50000,km
2011,Light Goods Vehicle,29900,km
2011,Heavy Goods Vehicle,44100,km
2011,Motorcycles,13400,km
2012,Cars,18200,km
2012,Private Hire Buses,52600,km
2012,School Buses,54300,km
2012,Light Goods Vehicle,29700,km
2012,Heavy Goods Vehicle,39400,km
2012,Motorcycles,13300,km
2013,Cars,17800,km
2013,Private Hire Buses,51800,km
2013,School Buses,54100,km
2013,Light Goods Vehicle,30000,km
2013,Heavy Goods Vehicle,38100,km
2013,Motorcycles,12900,km
2014,Cars,17500,km
2014,Private Hire Buses,54400,km
2014,School Buses,53400,km
2014,Light Goods Vehicle,30500,km
2014,Heavy Goods Vehicle,39000,km
2014,Motorcycles,12800,km
2015,Cars,17300,km
2015,Private Hire Buses,43300,km
2015,School Buses,52100,km
2015,Light Goods Vehicle,30600,km
2015,Heavy Goods Vehicle,42900,km
2015,Motorcycles,12800,km
2016,Cars,16700,km
2016,Private Hire Buses,42400,km
2016,School Buses,49400,km
2016,Light Goods Vehicle,30600,km
2016,Heavy Goods Vehicle,42800,km
2016,Motorcycles,13200,km
2017,Cars,16700,km
2017,Private Hire Buses,43000,km
2017,School Buses,52400,km
2017,Light Goods Vehicle,29700,km
2017,Heavy Goods Vehicle,40100,km
2017,Motorcycles,13200,km
2018,Cars,17500,km
2018,Private Hire Buses,43100,km
2018,School Buses,44800,km
2018,Light Goods Vehicle,29500,km
2018,Heavy Goods Vehicle,39500,km
2018,Motorcycles,13000,km
