Age,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,8162,12609,26454,35423,31905,28706,29554,39621,34044,32701,28785,25064,27898,38474,58097,67134,62935,81244,96670,109165,116741,106502,96945,68464,41407,27748,27297,21952,28547,57387,87157,91614,79961
1,13457,8161,12607,26460,35427,31904,28718,29553,39616,33975,32672,28774,24976,27883,38441,58000,67066,62827,81164,96518,109075,116656,106440,96927,68503,41426,27759,27299,21943,28540,57370,87142,91204
2,22224,13422,8156,12621,26475,35451,31919,28747,29548,39591,33859,32594,28683,24844,27856,38210,57110,66234,60289,78754,93240,108606,116471,106281,96887,68512,41439,27747,27288,21932,28523,57335,85124
3,31022,22220,13457,8193,12661,26507,35511,31920,28740,29531,39558,33682,31984,28569,24160,27614,36747,47358,56374,46496,63124,81376,102520,116043,105917,96877,68512,41420,27727,27267,21759,28392,55790
4,31756,30974,22218,13514,8221,12740,26548,35494,31902,28722,29471,39518,32575,31136,28211,19420,26719,27250,27860,34396,26056,42069,60442,93610,115583,105783,96822,68488,41402,27701,27144,21269,26621
5,23683,31649,30742,22223,13516,8358,12852,26522,35466,31874,28695,29390,39294,31031,29790,25157,13305,22390,13038,10562,15655,12678,23981,44002,88437,115335,105599,96742,68460,41372,27635,26551,18912
6,30276,23023,31216,30370,22107,13524,8749,12787,26399,35317,31734,28623,29100,38988,29543,25574,20309,8327,15284,6644,5823,10607,8570,17511,37564,87554,115056,105403,96674,68437,41318,27412,23938
7,21694,29705,22669,30156,29784,22009,13561,8625,12442,25637,34432,31110,28003,28570,38186,23843,18122,12810,4311,8462,3398,3638,7668,5936,14014,34178,86307,114665,105216,96602,68362,41142,25854
8,15150,21399,28786,21644,29451,29557,21924,13482,8589,12392,25509,34214,30771,27796,28030,34102,15608,10545,6970,2284,4456,2024,2474,5465,4713,11710,29983,84212,113962,104943,96263,68076,39859
9,8359,10395,16551,21742,16004,24117,24561,17589,10691,7345,11049,23253,29976,26914,25588,24297,21537,6747,4538,3250,1174,2288,1131,1574,3790,3376,8089,23039,73764,107529,97596,88583,62955
10,1859,4714,6703,10604,12187,8344,11672,8467,5047,2289,2256,2343,2638,8653,8378,14480,13222,4207,811,644,1131,502,594,505,558,588,368,628,1840,9561,28820,28487,37753
11,2047,1792,4639,6618,10337,11750,7009,11642,8439,5017,2276,2245,2324,2644,8675,8238,14418,13164,4165,787,634,1125,498,586,501,558,585,362,614,1817,9378,28439,27376
12,2909,1907,1749,4570,6449,9897,10557,6993,11608,8375,4976,2263,2232,2307,2634,8521,7913,14236,12979,4003,746,621,1113,488,581,501,558,582,357,592,1749,8728,25799
13,3413,2718,1842,1698,4445,6196,8732,10532,6956,11545,8283,4924,2218,2213,2287,2556,8230,6678,13490,12431,3617,698,604,1096,475,575,500,556,567,345,554,1557,6677
14,1944,3228,2647,1771,1617,4256,5451,8716,10508,6910,11460,8060,4637,2097,2151,2135,2411,6834,4395,11822,10967,3223,649,577,1082,464,559,493,533,526,305,458,1121
>15,3990,5540,8548,10930,11889,11982,10294,15526,24031,34211,40543,51308,57908,60822,40934,26073,18622,14477,14765,11976,16471,22072,20355,17923,15173,8538,8137,7757,7715,7760,7324,7071,6508
