Age,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 0-4 Years ,225705,222991,217798,209903,204819,199529,194479,193626,193889,197788,194432,188249,186673,183295,181369,183575,187160,187653,185528,185355
 5-9 Years ,256574,254077,253192,247044,240517,237237,235204,229541,223622,221435,215675,208119,206324,205704,205790,204452,201509,200575,199066,197775
 10-14 Years ,235352,246972,257692,259124,257283,258553,256482,255292,253796,248628,244302,240536,233320,226244,220796,214388,207495,206253,206530,207926
 15-19 Years ,211286,210903,209687,214074,227417,234921,246547,257298,262856,262775,263750,260738,258861,255066,247337,242902,239771,232973,226520,222222
 20-24 Years ,212236,214636,216313,215412,215217,218951,219631,218485,225385,241753,247190,255069,264506,266889,263918,264127,260854,259072,255516,249079
 25-29 Years ,267161,262754,262720,250878,246713,247799,251659,254523,263114,274308,272639,262606,254582,255615,265659,271030,279988,290198,291631,288194
 30-34 Years ,290290,286690,289184,287304,290489,293414,293251,294453,289817,297240,298687,297555,295396,296870,292287,290619,285544,279340,281397,293446
 35-39 Years ,322621,322878,320753,310643,302908,299153,298203,301973,307243,317311,320024,316161,313970,305503,302029,301067,301998,300956,303720,300818
 40-44 Years ,312420,317996,320863,318282,321057,321472,323017,321049,317363,312983,309441,306614,308823,312581,316023,316755,313445,311484,303640,300763
 45-49 Years ,262201,274569,286738,292791,300671,307546,312858,315552,318078,322497,323459,323991,320925,316336,308533,303413,301183,303457,307838,311682
 50-54 Years ,206657,223842,230367,233180,244110,254168,266994,279220,289189,297383,303044,308130,310376,312988,315503,315091,315598,312814,308965,301682
 55-59 Years ,125061,125449,143175,157894,174788,197803,214601,220983,229356,239947,248696,260678,271817,281069,288392,295063,299591,301678,304390,306759
 60-64 Years ,110503,118506,123438,121724,122736,117575,118242,135501,153161,169696,191995,208160,213996,222154,231502,240493,251853,262651,271688,278828
 65-69 Years ,88305,89676,89587,89883,96007,101088,108837,113757,115185,116258,111511,112396,128879,145817,161198,182425,198020,203969,212101,221296
 70-74 Years ,66948,69048,70642,70002,72485,76545,78317,78631,81307,87428,92618,100073,104414,105746,106815,102631,103796,119494,135546,150127
 75-79 Years ,39644,42501,45830,42863,47875,51601,54413,56732,59001,61490,65178,66909,67675,70619,76294,81211,87955,91953,93327,94600
 80-84 Years ,22876,23897,25213,25783,26864,27879,29443,31519,33882,37143,39839,42145,44115,46199,48418,51785,53556,54341,57103,62293
 85-89 Years ,12092,12500,13047,13217,13778,14514,15206,15923,16734,17569,18481,19756,21503,23235,25486,27494,29086,30481,31991,33935
 90 Years & Over ,5431,6017,6705,6890,7532,8066,8510,9024,9681,10244,10760,11366,12050,12821,13390,14169,15157,16454,17786,19429
