month,make,fuel_type,vehicle_type,number
2016-01,MITSUBISHI,Diesel,Goods cum Passenger Vehicles,1
2016-01,NISSAN,Diesel,Goods cum Passenger Vehicles,6
2016-01,SSANGYONG,Diesel,Goods cum Passenger Vehicles,3
2016-01,CITROEN,Diesel,Light Goods Vehicles,8
2016-01,FIAT,Diesel,Light Goods Vehicles,28
2016-01,HYUNDAI,Diesel,Light Goods Vehicles,3
2016-01,ISUZU,Diesel,Light Goods Vehicles,32
2016-01,KIA,Diesel,Light Goods Vehicles,8
2016-01,LAND ROVER,Diesel,Light Goods Vehicles,8
2016-01,MERCEDES BENZ,Diesel,Light Goods Vehicles,29
2016-01,MITSUBISHI,Diesel,Light Goods Vehicles,33
2016-01,NISSAN,Petrol,Light Goods Vehicles,15
2016-01,NISSAN,Diesel,Light Goods Vehicles,278
2016-01,OPEL,Diesel,Light Goods Vehicles,2
2016-01,PEUGEOT,Diesel,Light Goods Vehicles,11
2016-01,RENAULT,Diesel,Light Goods Vehicles,5
2016-01,TENNANT,Diesel,Light Goods Vehicles,1
2016-01,TOYOTA,Petrol,Light Goods Vehicles,2
2016-01,TOYOTA,Diesel,Light Goods Vehicles,361
2016-01,CATERPILLAR,Diesel,Heavy Goods Vehicles,1
2016-01,COMAC,Diesel,Heavy Goods Vehicles,1
2016-01,FOTON,Diesel,Heavy Goods Vehicles,1
2016-01,HINO,Diesel,Heavy Goods Vehicles,63
2016-01,ISUZU,Diesel,Heavy Goods Vehicles,160
2016-01,JAC,Diesel,Heavy Goods Vehicles,3
2016-01,LEKTRO,Others,Heavy Goods Vehicles,1
2016-01,LINDE,Others,Heavy Goods Vehicles,1
2016-01,MANITOU,Diesel,Heavy Goods Vehicles,4
2016-01,MERCEDES BENZ,Diesel,Heavy Goods Vehicles,8
2016-01,MITSUBISHI,Diesel,Heavy Goods Vehicles,232
2016-01,NISSAN,Diesel,Heavy Goods Vehicles,1
2016-01,TOYOTA,Diesel,Heavy Goods Vehicles,86
2016-01,TOYOTA,Others,Heavy Goods Vehicles,1
2016-01,UD TRUCKS,Diesel,Heavy Goods Vehicles,4
2016-01,UNICARRIERS,Diesel,Heavy Goods Vehicles,1
2016-01,BEIBEN,Diesel,Very Heavy Goods Vehicles,1
2016-01,HINO,Diesel,Very Heavy Goods Vehicles,5
