Country,Scenario,Year,Value,Unit,Source
Singapore,Medium,2005,4265693,people,UN
Singapore,Medium,2006,4402324,people,UN
Singapore,Medium,2007,4578629,people,UN
Singapore,Medium,2008,4775810,people,UN
Singapore,Medium,2009,4966614,people,UN
Singapore,Medium,2010,5131170,people,UN
Singapore,Medium,2011,5263640,people,UN
Singapore,Medium,2012,5369469,people,UN
Singapore,Medium,2013,5453732,people,UN
Singapore,Medium,2014,5525628,people,UN
Singapore,Medium,2015,5592143,people,UN
Singapore,Medium,2016,5653625,people,UN
Singapore,Medium,2017,5708042,people,UN
Singapore,Medium,2018,5757503,people,UN
Singapore,Medium,2019,5804343,people,UN
Singapore,Medium,2020,5850343,people,UN
Singapore,Medium,2021,5896684,people,UN
Singapore,Medium,2022,5943551,people,UN
Singapore,Medium,2023,5990292,people,UN
Singapore,Medium,2024,6035675,people,UN
Singapore,Medium,2025,6078760,people,UN
Singapore,Medium,2026,6119586,people,UN
Singapore,Medium,2027,6158533,people,UN
Singapore,Medium,2028,6195443,people,UN
Singapore,Medium,2029,6230132,people,UN
Singapore,Medium,2030,6262465,people,UN
Singapore,Medium,2031,6292363,people,UN
Singapore,Medium,2032,6319769,people,UN
Singapore,Medium,2033,6344626,people,UN
Singapore,Medium,2034,6366868,people,UN
Singapore,Medium,2035,6386454,people,UN
Singapore,Medium,2036,6403394,people,UN
Singapore,Medium,2037,6417695,people,UN
Singapore,Medium,2038,6429411,people,UN
Singapore,Medium,2039,6438647,people,UN
Singapore,Medium,2040,6445489,people,UN
Singapore,Medium,2041,6450003,people,UN
Singapore,Medium,2042,6452270,people,UN
Singapore,Medium,2043,6452433,people,UN
Singapore,Medium,2044,6450679,people,UN
Singapore,Medium,2045,6447175,people,UN
Singapore,Medium,2046,6442025,people,UN
Singapore,Medium,2047,6435317,people,UN
Singapore,Medium,2048,6427251,people,UN
Singapore,Medium,2049,6417931,people,UN
Singapore,Medium,2050,6407528,people,UN
Singapore,Medium,2051,6396144,people,UN
Singapore,Medium,2052,6383866,people,UN
Singapore,Medium,2053,6370813,people,UN
Singapore,Medium,2054,6357099,people,UN
Singapore,Medium,2055,6342834,people,UN
Singapore,Medium,2056,6328083,people,UN
Singapore,Medium,2057,6312903,people,UN
Singapore,Medium,2058,6297343,people,UN
