Scenario,Country,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
med,Singapore,2020,258.176,220.861,240.625,265.169,397.537,435.521,434.677,461.938,473.271,491.602,466.411,479.811,443.631,355.694,190.228,99.406,73.381,40.499,16.981,4.173,0.751
med,Singapore,2025,256.555,261.72,223.569,254.649,290.4,421.578,453.495,446.739,469.24,476.644,491.236,462.231,470.321,428.394,334.347,170.853,82.626,53.094,23.292,6.764,1.013
med,Singapore,2030,247.342,260.105,264.423,237.617,279.907,314.589,439.605,465.571,454.154,472.783,476.68,487.201,453.978,455.383,404.504,301.641,143.486,60.936,31.312,9.596,1.652
med,Singapore,2035,230.383,250.9,262.815,278.458,262.904,304.128,332.777,451.747,473.002,457.889,473.091,473.291,479.177,440.803,431.854,367.639,255.301,107.628,36.887,13.32,2.46
med,Singapore,2040,215.247,233.946,253.617,276.86,303.727,287.157,322.351,345.136,459.283,476.762,458.497,470.142,466.253,466.345,419.874,395.231,314.641,193.953,66.693,16.224,3.55
med,Singapore,2045,210.523,218.82,236.672,267.674,302.147,327.961,305.415,334.754,352.991,463.213,477.421,456.027,463.776,454.845,445.891,386.97,341.845,243.003,122.385,30.255,4.587
med,Singapore,2050,216.05,214.099,221.553,250.743,292.981,326.395,346.195,317.869,342.681,357.439,464.145,475.039,450.372,453.358,436.527,413.498,338.257,268.166,156.975,56.875,8.311
med,Singapore,2055,222.668,219.626,216.836,235.635,276.071,317.251,344.653,358.62,325.87,347.24,359.18,462.192,469.541,440.991,436.511,407.237,364.891,269.512,177.146,75.286,15.877
med,Singapore,2060,223.144,226.249,222.365,230.925,260.981,300.367,335.535,357.105,366.579,330.551,349.167,358.507,457.361,460.421,425.757,409.434,362.759,295.036,182.226,87.693,22.914
med,Singapore,2065,218.303,226.729,228.984,236.459,256.283,285.299,318.678,348.023,365.109,371.203,332.675,348.79,355.559,449.219,445.595,401.13,367.819,297.526,203.878,93.19,28.706
med,Singapore,2070,212.51,221.891,229.47,243.083,261.82,280.614,303.636,331.206,356.076,369.804,373.241,332.616,346.288,350.104,435.881,421.533,362.905,305.629,210.042,107.534,32.722
med,Singapore,2075,209.372,216.1,224.635,243.571,268.451,286.159,298.967,316.2,339.326,360.861,371.962,373.068,330.588,341.502,340.873,414.119,383.907,304.924,220.13,114.29,38.913
med,Singapore,2080,210.627,212.965,218.848,238.743,268.945,292.795,304.519,311.553,324.372,344.212,363.162,371.979,370.891,326.487,333.279,325.497,379.705,325.949,223.388,123.285,43.937
med,Singapore,2085,213.823,214.221,215.714,232.958,264.126,293.3,311.163,317.118,319.76,329.346,346.676,363.409,370.105,366.618,319.33,319.499,300.821,325.927,242.834,128.397,49.562
med,Singapore,2090,215.74,217.416,216.971,229.827,258.354,288.491,311.679,323.775,325.345,324.791,331.951,347.174,361.872,366.266,359.205,307.201,297.097,261.33,246.961,143.041,54.289
med,Singapore,2095,215.923,219.336,220.171,231.091,255.229,282.728,306.884,324.308,332.023,330.411,327.492,332.674,346.021,358.542,359.54,346.658,287.306,260.723,201.902,149.331,61.9
med,Singapore,2100,214.54,219.523,222.091,234.29,256.496,279.614,301.136,319.529,332.58,337.121,333.17,328.368,331.849,343.232,352.592,348.079,325.942,254.493,204.763,125.805,68.264
