year,unit,MRT,LRT,Bus
2004,veh.km/year,14865675,0,299285850
2005,veh.km/year,15121350,2532300,300308550
2006,veh.km/year,15048300,2715800,304253250
2007,veh.km/year,15413550,2899300,308344050
2008,veh.km/year,16509300,3229600,301988700
2009,veh.km/year,18025000,3303000,310243350
2010,veh.km/year,20265000,3311000,306700425
2011,veh.km/year,22465000,3620000,299030175
2012,veh.km/year,26492000,3883000,298591875
2013,veh.km/year,26420000,4435000,312873150
2014,veh.km/year,28173000,4787000,329345925
2015,veh.km/year,28795000,5937000,
2016,veh.km/year,34194000,6620000,
2017,veh.km/year,36278000,7233000,
2018,veh.km/year,40700000,7302000,
