year,type_of_public_transport,average_ridership,unit
1995,MRT,740000,passenger.trips
1995,LRT,0,passenger.trips
1995,Bus,3009000,passenger.trips
1995,Taxi,0,passenger.trips
1996,MRT,850000,passenger.trips
1996,LRT,0,passenger.trips
1996,Bus,3118000,passenger.trips
1996,Taxi,0,passenger.trips
1997,MRT,911000,passenger.trips
1997,LRT,0,passenger.trips
1997,Bus,3116000,passenger.trips
1997,Taxi,0,passenger.trips
1998,MRT,946000,passenger.trips
1998,LRT,0,passenger.trips
1998,Bus,3121000,passenger.trips
1998,Taxi,0,passenger.trips
1999,MRT,986000,passenger.trips
1999,LRT,27000,passenger.trips
1999,Bus,3213000,passenger.trips
1999,Taxi,0,passenger.trips
2000,MRT,1047000,passenger.trips
2000,LRT,39000,passenger.trips
2000,Bus,3251000,passenger.trips
2000,Taxi,0,passenger.trips
2001,MRT,1071000,passenger.trips
2001,LRT,41000,passenger.trips
2001,Bus,3281000,passenger.trips
2001,Taxi,880000,passenger.trips
2002,MRT,1081000,passenger.trips
2002,LRT,39000,passenger.trips
2002,Bus,3197000,passenger.trips
2002,Taxi,839000,passenger.trips
2003,MRT,1171000,passenger.trips
2003,LRT,50000,passenger.trips
2003,Bus,2992000,passenger.trips
2003,Taxi,805000,passenger.trips
2004,MRT,1270000,passenger.trips
2004,LRT,55000,passenger.trips
2004,Bus,2805000,passenger.trips
2004,Taxi,852000,passenger.trips
2005,MRT,1321000,passenger.trips
2005,LRT,69000,passenger.trips
2005,Bus,2779000,passenger.trips
2005,Taxi,980000,passenger.trips
2006,MRT,1408000,passenger.trips
2006,LRT,74000,passenger.trips
2006,Bus,2833000,passenger.trips
2006,Taxi,946000,passenger.trips
2007,MRT,1527000,passenger.trips
2007,LRT,79000,passenger.trips
2007,Bus,2932000,passenger.trips
2007,Taxi,944000,passenger.trips
2008,MRT,1698000,passenger.trips
2008,LRT,88000,passenger.trips
2008,Bus,3087000,passenger.trips
2008,Taxi,909000,passenger.trips
2009,MRT,1782000,passenger.trips
2009,LRT,90000,passenger.trips
2009,Bus,3047000,passenger.trips
2009,Taxi,860000,passenger.trips
2010,MRT,2069000,passenger.trips
2010,LRT,100000,passenger.trips
2010,Bus,3199000,passenger.trips
2010,Taxi,912000,passenger.trips
2011,MRT,2295000,passenger.trips
2011,LRT,111000,passenger.trips
2011,Bus,3385000,passenger.trips
2011,Taxi,933000,passenger.trips
2012,MRT,2525000,passenger.trips
2012,LRT,124000,passenger.trips
2012,Bus,3481000,passenger.trips
2012,Taxi,967000,passenger.trips
2013,MRT,2623000,passenger.trips
2013,LRT,132000,passenger.trips
2013,Bus,3601000,passenger.trips
2013,Taxi,967000,passenger.trips
2014,MRT,2762000,passenger.trips
2014,LRT,137000,passenger.trips
2014,Bus,3751000,passenger.trips
2014,Taxi,1020000,passenger.trips
2015,MRT,2879000,passenger.trips
2015,LRT,153000,passenger.trips
2015,Bus,3891000,passenger.trips
2015,Taxi,1010000,passenger.trips
2016,MRT,3095000,passenger.trips
2016,LRT,180000,passenger.trips
2016,Bus,3939000,passenger.trips
2016,Taxi,954000,passenger.trips
2017,MRT,3122000,passenger.trips
2017,LRT,190000,passenger.trips
2017,Bus,3952000,passenger.trips
2017,Taxi,785000,passenger.trips
2018,MRT,3302000,passenger.trips
2018,LRT,199000,passenger.trips
2018,Bus,4037000,passenger.trips
2018,Taxi,595000,passenger.trips
