"Make","Model","Body","Enginee_cc","MPO_kw","Fuel","Transmission","Turbo_supercharged","Hybrid","fe_urban","fe_xtra_urban","fe_combined","co2_urban","co2_xtra_urban","co2_combined","ves_band"
"ALFA ROMEO","GIULIA SUPER 2.0L","Sedan",1995,147,"Petrol","Automatic","YES","NO","8.4","4.5999999999999996",6,"194","106",138,"B"
"ALFA ROMEO","GIULIA VELOCE 2.0L","Sedan",1995,206,"Petrol","Automatic","YES","NO","8.1999999999999993","4.9000000000000004",6.1,"190","113",141,"B"
"ALFA ROMEO","GIULIA 2.0L","Sedan",1995,206,"Petrol","Automatic","YES","NO","8.1999999999999993","4.9000000000000004",6.1,"190","113",141,"C2"
"ALFA ROMEO","GIULIA 2.0L BASE","Sedan",1995,147,"Petrol","Automatic","YES","NO","8.4","4.5999999999999996",6,"194","106",138,"C2"
"ALFA ROMEO","GIULIA 2.0L SUPER","Sedan",1995,147,"Petrol","Automatic","YES","NO","8.4","4.5999999999999996",6,"194","106",138,"C1"
"ALFA ROMEO","GIULIA 2.9 V6","Sedan",2891,375,"Petrol","Automatic","YES","NO","12.4","5.7",8.2,"287","132",189,"C2"
"ALFA ROMEO","GIULIETTA QV 1.8T","Hatchback",1742,177,"Petrol","Sequential","YES","NO","9.8000000000000007","5.3",7,"227","124",162,"C2"
"ALFA ROMEO","GIULIETTA 1.4T","Hatchback",1368,125,"Petrol","Sequential","YES","NO","6.4","4.2",5,"149","98",117,"C2"
"ALFA ROMEO","STELVIO QUADRIFOGLIO","Sports Utility Vehicle",2891,375,"Petrol","Automatic","YES","NO","13.6","8.1999999999999993",10.2,"311","188",233,"C2"
"ALFA ROMEO","STELVIO SUPER 2.0L","Sports Utility Vehicle",1995,148,"Petrol","Automatic","YES","NO","8.9","5.9",7,"205","136",161,"C1"
"ALFA ROMEO","4C COUPE 1.8T","Coupe/ Convertible",1742,177,"Petrol","Sequential","YES","NO","9.8000000000000007","5",6.8,"228","115",157,"C2"
