"Mode","Technology","Fuel","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Car","ICEV-D","Diesel","4.43","4.43","4.43","4.43","4.43","4.43","4.43","4.43","4.43","4.43","4.43","4.43","4.43","4.43","4.43","4.43","4.43","4.43","4.43","4.43","4.43","4.43","4.43","4.43","4.43","4.43","4.43","4.43","4.43","4.43","4.43","4.59","4.79","4.89","4.72"
"Car","ICEV-G","Gasoline","8.02","8.02","8.02","8.02","8.02","8.02","8.02","8.02","8.02","8.02","8.02","8.02","8.02","8.02","8.02","8.02","7.95","7.87","7.8","7.72","7.65","7.57","7.5","7.42","7.35","7.27","7.2","7.12","7.05","6.97","6.9","6.95","6.89","6.82","6.85"
"Car","HEV-G","Gasoline","4.407","4.407","4.407","4.407","4.407","4.407","4.407","4.407","4.407","4.407","4.407","4.407","4.407","4.407","4.407","4.407","4.407","4.407","4.407","4.407","4.407","4.407","4.407","4.407","4.407","4.36","4.31","4.25","4.2","4.15","4.1","4.05","4","3.95","3.9"
"Car","BEV","Electricity","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1","17.1"
"Car","PHEV","Gasoline","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Car","PHEV","Electricity","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8"
"Car","CNG","CNG","14.12","14.12","14.12","14.12","14.12","14.12","14.12","14.12","14.12","14.12","14.12","14.12","14.12","14.12","14.12","14.12","14.12","14.12","14.12","14.12","14.12","14.12","14.12","14.12","14.12","14.12","14.12","14.12","14.12","14.12","14.12","14.12","14.12","14.12","14.12"
"Bus","ICEB-D","Diesel","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6"
"Bus","HEB-D","Diesel","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3"
"Bus","CNGB","CNG","68","68","68","68","68","68","68","68","68","68","68","68","68","68","68","68","68","68","68","68","68","68","68","68","68","68","68","68","68","68","68","68","68","68","68"
"Bus","EB","Electricity","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130"
"Motorcycle","ICEM-G","Gasoline","2.43","2.43","2.43","2.43","2.43","2.43","2.43","2.43","2.43","2.43","2.43","2.43","2.43","2.43","2.43","2.43","2.43","2.43","2.43","2.43","2.43","2.43","2.43","2.43","2.43","2.43","2.43","2.43","2.43","2.43","2.43","2.43","2.43","2.43","2.43"
"Motorcycle","EM","Electricity","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8"
"MRT","MRT","Electricity","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497"
"LRT","LRT","Electricity","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497","497"
