"Technology","Age","Value","Year"
"ICEV-G",0,2132,2005
"ICEV-D",0,0,2005
"HEV-G",0,6,2005
"HEV-D",0,0,2005
"CNG",0,4,2005
"PHEV",0,0,2005
"BEV",0,0,2005
"ICEV-G",1,1885,2005
"ICEV-D",1,0,2005
"HEV-G",1,0,2005
"HEV-D",1,0,2005
"CNG",1,0,2005
"PHEV",1,0,2005
"BEV",1,0,2005
"ICEV-G",2,1538,2005
"ICEV-D",2,0,2005
"HEV-G",2,0,2005
"HEV-D",2,0,2005
"CNG",2,0,2005
"PHEV",2,0,2005
"BEV",2,0,2005
"ICEV-G",3,908,2005
"ICEV-D",3,0,2005
"HEV-G",3,0,2005
"HEV-D",3,0,2005
"CNG",3,0,2005
"PHEV",3,0,2005
"BEV",3,0,2005
"ICEV-G",4,672,2005
"ICEV-D",4,0,2005
"HEV-G",4,0,2005
"HEV-D",4,0,2005
"CNG",4,0,2005
"PHEV",4,0,2005
"BEV",4,0,2005
"ICEV-G",5,206,2005
"ICEV-D",5,0,2005
"HEV-G",5,0,2005
"HEV-D",5,0,2005
"CNG",5,0,2005
"PHEV",5,0,2005
"BEV",5,0,2005
"ICEV-G",6,130,2005
"ICEV-D",6,0,2005
"HEV-G",6,0,2005
"HEV-D",6,0,2005
"CNG",6,0,2005
"PHEV",6,0,2005
"BEV",6,0,2005
"ICEV-G",7,165,2005
"ICEV-D",7,0,2005
"HEV-G",7,0,2005
"HEV-D",7,0,2005
"CNG",7,0,2005
"PHEV",7,0,2005
"BEV",7,0,2005
"ICEV-G",8,45,2005
"ICEV-D",8,0,2005
"HEV-G",8,0,2005
"HEV-D",8,0,2005
"CNG",8,0,2005
"PHEV",8,0,2005
"BEV",8,0,2005
"ICEV-G",9,63,2005
"ICEV-D",9,0,2005
"HEV-G",9,0,2005
"HEV-D",9,0,2005
"CNG",9,0,2005
"PHEV",9,0,2005
"BEV",9,0,2005
"ICEV-G",10,13,2005
"ICEV-D",10,0,2005
"HEV-G",10,0,2005
"HEV-D",10,0,2005
"CNG",10,0,2005
"PHEV",10,0,2005
"BEV",10,0,2005
