"Technology","Age","Value","Year","Mode"
"ICEM-G",0,12121,2005,"Motorcycle"
"EM",0,1,2005,"Motorcycle"
"ICEM-G",1,11976,2005,"Motorcycle"
"EM",1,0,2005,"Motorcycle"
"ICEM-G",2,14712,2005,"Motorcycle"
"EM",2,0,2005,"Motorcycle"
"ICEM-G",3,16599,2005,"Motorcycle"
"EM",3,0,2005,"Motorcycle"
"ICEM-G",4,13127,2005,"Motorcycle"
"EM",4,0,2005,"Motorcycle"
"ICEM-G",5,10358,2005,"Motorcycle"
"EM",5,0,2005,"Motorcycle"
"ICEM-G",6,8500,2005,"Motorcycle"
"EM",6,0,2005,"Motorcycle"
"ICEM-G",7,7326,2005,"Motorcycle"
"EM",7,0,2005,"Motorcycle"
"ICEM-G",8,4794,2005,"Motorcycle"
"EM",8,0,2005,"Motorcycle"
"ICEM-G",9,3661,2005,"Motorcycle"
"EM",9,0,2005,"Motorcycle"
"ICEM-G",10,2218,2005,"Motorcycle"
"EM",10,0,2005,"Motorcycle"
"ICEM-G",11,4241,2005,"Motorcycle"
"EM",11,0,2005,"Motorcycle"
"ICEM-G",12,3271,2005,"Motorcycle"
"EM",12,0,2005,"Motorcycle"
"ICEM-G",13,1903,2005,"Motorcycle"
"EM",13,0,2005,"Motorcycle"
"ICEM-G",14,1661,2005,"Motorcycle"
"EM",14,0,2005,"Motorcycle"
"ICEM-G",15,1483,2005,"Motorcycle"
"EM",15,0,2005,"Motorcycle"
"ICEM-G",16,2214,2005,"Motorcycle"
"EM",16,0,2005,"Motorcycle"
"ICEM-G",17,1299,2005,"Motorcycle"
"EM",17,0,2005,"Motorcycle"
"ICEM-G",18,945,2005,"Motorcycle"
"EM",18,0,2005,"Motorcycle"
"ICEM-G",19,1154,2005,"Motorcycle"
"EM",19,0,2005,"Motorcycle"
"ICEM-G",20,15024,2005,"Motorcycle"
"EM",20,0,2005,"Motorcycle"
"ICEM-G",0,24433,2006,"Motorcycle"
"EM",0,0,2006,"Motorcycle"
"ICEM-G",1,12046,2006,"Motorcycle"
"EM",1,1,2006,"Motorcycle"
"ICEM-G",2,11848,2006,"Motorcycle"
"EM",2,0,2006,"Motorcycle"
"ICEM-G",3,14511,2006,"Motorcycle"
"EM",3,0,2006,"Motorcycle"
