"Technology","Age","Value","Year","Mode"
"ICEB-D",0,227,2005,"Public bus"
"HEB-D",0,0,2005,"Public bus"
"CNGB",0,0,2005,"Public bus"
"EB",0,0,2005,"Public bus"
"ICEB-D",1,200,2005,"Public bus"
"HEB-D",1,0,2005,"Public bus"
"CNGB",1,0,2005,"Public bus"
"EB",1,0,2005,"Public bus"
"ICEB-D",2,205,2005,"Public bus"
"HEB-D",2,0,2005,"Public bus"
"CNGB",2,0,2005,"Public bus"
"EB",2,0,2005,"Public bus"
"ICEB-D",3,187,2005,"Public bus"
"HEB-D",3,0,2005,"Public bus"
"CNGB",3,0,2005,"Public bus"
"EB",3,0,2005,"Public bus"
"ICEB-D",4,246,2005,"Public bus"
"HEB-D",4,0,2005,"Public bus"
"CNGB",4,0,2005,"Public bus"
"EB",4,0,2005,"Public bus"
"ICEB-D",5,378,2005,"Public bus"
"HEB-D",5,0,2005,"Public bus"
"CNGB",5,0,2005,"Public bus"
"EB",5,0,2005,"Public bus"
"ICEB-D",6,240,2005,"Public bus"
"HEB-D",6,0,2005,"Public bus"
"CNGB",6,0,2005,"Public bus"
"EB",6,0,2005,"Public bus"
"ICEB-D",7,225,2005,"Public bus"
"HEB-D",7,0,2005,"Public bus"
"CNGB",7,0,2005,"Public bus"
"EB",7,0,2005,"Public bus"
"ICEB-D",8,270,2005,"Public bus"
"HEB-D",8,0,2005,"Public bus"
"CNGB",8,0,2005,"Public bus"
"EB",8,0,2005,"Public bus"
"ICEB-D",9,197,2005,"Public bus"
"HEB-D",9,0,2005,"Public bus"
"CNGB",9,0,2005,"Public bus"
"EB",9,0,2005,"Public bus"
"ICEB-D",10,295,2005,"Public bus"
"HEB-D",10,0,2005,"Public bus"
"CNGB",10,0,2005,"Public bus"
"EB",10,0,2005,"Public bus"
"ICEB-D",11,258,2005,"Public bus"
"HEB-D",11,0,2005,"Public bus"
"CNGB",11,0,2005,"Public bus"
"EB",11,0,2005,"Public bus"
"ICEB-D",12,238,2005,"Public bus"
"HEB-D",12,0,2005,"Public bus"
"CNGB",12,0,2005,"Public bus"
"EB",12,0,2005,"Public bus"
"ICEB-D",13,195,2005,"Public bus"
"HEB-D",13,0,2005,"Public bus"
"CNGB",13,0,2005,"Public bus"
"EB",13,0,2005,"Public bus"
"ICEB-D",14,195,2005,"Public bus"
"HEB-D",14,0,2005,"Public bus"
"CNGB",14,0,2005,"Public bus"
"EB",14,0,2005,"Public bus"
"ICEB-D",15,148,2005,"Public bus"
"HEB-D",15,0,2005,"Public bus"
"CNGB",15,0,2005,"Public bus"
"EB",15,0,2005,"Public bus"
"ICEB-D",16,100,2005,"Public bus"
"HEB-D",16,0,2005,"Public bus"
"CNGB",16,0,2005,"Public bus"
"EB",16,0,2005,"Public bus"
"ICEB-D",17,62,2005,"Public bus"
"HEB-D",17,0,2005,"Public bus"
"CNGB",17,0,2005,"Public bus"
"EB",17,0,2005,"Public bus"
"ICEB-D",18,5,2005,"Public bus"
"HEB-D",18,0,2005,"Public bus"
"CNGB",18,0,2005,"Public bus"
