"Technology","Age","Value","Year","Mode"
"ICEB-G",0,0,2005,"School bus"
"ICEB-D",0,233,2005,"School bus"
"HEB-G",0,0,2005,"School bus"
"HEB-D",0,0,2005,"School bus"
"CNGB",0,0,2005,"School bus"
"EB",0,0,2005,"School bus"
"ICEB-G",1,7,2005,"School bus"
"ICEB-D",1,199,2005,"School bus"
"HEB-G",1,0,2005,"School bus"
"HEB-D",1,0,2005,"School bus"
"CNGB",1,0,2005,"School bus"
"EB",1,0,2005,"School bus"
"ICEB-G",2,7,2005,"School bus"
"ICEB-D",2,203,2005,"School bus"
"HEB-G",2,0,2005,"School bus"
"HEB-D",2,0,2005,"School bus"
"CNGB",2,0,2005,"School bus"
"EB",2,0,2005,"School bus"
"ICEB-G",3,6,2005,"School bus"
"ICEB-D",3,186,2005,"School bus"
"HEB-G",3,0,2005,"School bus"
"HEB-D",3,0,2005,"School bus"
"CNGB",3,0,2005,"School bus"
"EB",3,0,2005,"School bus"
"ICEB-G",4,9,2005,"School bus"
"ICEB-D",4,244,2005,"School bus"
"HEB-G",4,0,2005,"School bus"
"HEB-D",4,0,2005,"School bus"
"CNGB",4,0,2005,"School bus"
"EB",4,0,2005,"School bus"
"ICEB-G",5,13,2005,"School bus"
"ICEB-D",5,375,2005,"School bus"
"HEB-G",5,0,2005,"School bus"
"HEB-D",5,0,2005,"School bus"
"CNGB",5,0,2005,"School bus"
"EB",5,0,2005,"School bus"
"ICEB-G",6,8,2005,"School bus"
"ICEB-D",6,238,2005,"School bus"
"HEB-G",6,0,2005,"School bus"
"HEB-D",6,0,2005,"School bus"
"CNGB",6,0,2005,"School bus"
"EB",6,0,2005,"School bus"
"ICEB-G",7,8,2005,"School bus"
"ICEB-D",7,223,2005,"School bus"
"HEB-G",7,0,2005,"School bus"
"HEB-D",7,0,2005,"School bus"
"CNGB",7,0,2005,"School bus"
"EB",7,0,2005,"School bus"
"ICEB-G",8,9,2005,"School bus"
"ICEB-D",8,268,2005,"School bus"
"HEB-G",8,0,2005,"School bus"
"HEB-D",8,0,2005,"School bus"
"CNGB",8,0,2005,"School bus"
"EB",8,0,2005,"School bus"
"ICEB-G",9,7,2005,"School bus"
"ICEB-D",9,196,2005,"School bus"
"HEB-G",9,0,2005,"School bus"
"HEB-D",9,0,2005,"School bus"
"CNGB",9,0,2005,"School bus"
"EB",9,0,2005,"School bus"
"ICEB-G",10,10,2005,"School bus"
"ICEB-D",10,292,2005,"School bus"
"HEB-G",10,0,2005,"School bus"
"HEB-D",10,0,2005,"School bus"
"CNGB",10,0,2005,"School bus"
"EB",10,0,2005,"School bus"
"ICEB-G",11,9,2005,"School bus"
"ICEB-D",11,255,2005,"School bus"
"HEB-G",11,0,2005,"School bus"
"HEB-D",11,0,2005,"School bus"
"CNGB",11,0,2005,"School bus"
"EB",11,0,2005,"School bus"
"ICEB-G",12,8,2005,"School bus"
"ICEB-D",12,236,2005,"School bus"
"HEB-G",12,0,2005,"School bus"
"HEB-D",12,0,2005,"School bus"
"CNGB",12,0,2005,"School bus"
"EB",12,0,2005,"School bus"
"ICEB-G",13,7,2005,"School bus"
"ICEB-D",13,193,2005,"School bus"
"HEB-G",13,0,2005,"School bus"
"HEB-D",13,0,2005,"School bus"
"CNGB",13,0,2005,"School bus"
"EB",13,0,2005,"School bus"
"ICEB-G",14,7,2005,"School bus"
"ICEB-D",14,193,2005,"School bus"
"HEB-G",14,0,2005,"School bus"
"HEB-D",14,0,2005,"School bus"
"CNGB",14,0,2005,"School bus"
"EB",14,0,2005,"School bus"
"ICEB-G",15,5,2005,"School bus"
"ICEB-D",15,147,2005,"School bus"
"HEB-G",15,0,2005,"School bus"
"HEB-D",15,0,2005,"School bus"
"CNGB",15,0,2005,"School bus"
"EB",15,0,2005,"School bus"
"ICEB-G",16,3,2005,"School bus"
"ICEB-D",16,100,2005,"School bus"
"HEB-G",16,0,2005,"School bus"
"HEB-D",16,0,2005,"School bus"
"CNGB",16,0,2005,"School bus"
"EB",16,0,2005,"School bus"
"ICEB-G",17,2,2005,"School bus"
"ICEB-D",17,61,2005,"School bus"
"HEB-G",17,0,2005,"School bus"
"HEB-D",17,0,2005,"School bus"
"CNGB",17,0,2005,"School bus"
"EB",17,0,2005,"School bus"
"ICEB-G",18,0,2005,"School bus"
"ICEB-D",18,5,2005,"School bus"
"HEB-G",18,0,2005,"School bus"
"HEB-D",18,0,2005,"School bus"
"CNGB",18,0,2005,"School bus"
"EB",18,0,2005,"School bus"
"ICEB-G",19,0,2005,"School bus"
"ICEB-D",19,3,2005,"School bus"
"HEB-G",19,0,2005,"School bus"
"HEB-D",19,0,2005,"School bus"
"CNGB",19,0,2005,"School bus"
"EB",19,0,2005,"School bus"
"ICEB-G",20,0,2005,"School bus"
"ICEB-D",20,0,2005,"School bus"
"HEB-G",20,0,2005,"School bus"
"HEB-D",20,0,2005,"School bus"
"CNGB",20,0,2005,"School bus"
"EB",20,0,2005,"School bus"
"ICEB-G",0,11,2006,"School bus"
"ICEB-D",0,401,2006,"School bus"
"HEB-G",0,0,2006,"School bus"
"HEB-D",0,0,2006,"School bus"
"CNGB",0,4,2006,"School bus"
"EB",0,0,2006,"School bus"
"ICEB-G",1,0,2006,"School bus"
"ICEB-D",1,233,2006,"School bus"
"HEB-G",1,0,2006,"School bus"
"HEB-D",1,0,2006,"School bus"
"CNGB",1,0,2006,"School bus"
"EB",1,0,2006,"School bus"
"ICEB-G",2,7,2006,"School bus"
"ICEB-D",2,199,2006,"School bus"
"HEB-G",2,0,2006,"School bus"
"HEB-D",2,0,2006,"School bus"
"CNGB",2,0,2006,"School bus"
"EB",2,0,2006,"School bus"
"ICEB-G",3,7,2006,"School bus"
"ICEB-D",3,203,2006,"School bus"
"HEB-G",3,0,2006,"School bus"
"HEB-D",3,0,2006,"School bus"
"CNGB",3,0,2006,"School bus"
"EB",3,0,2006,"School bus"
"ICEB-G",4,6,2006,"School bus"
"ICEB-D",4,183,2006,"School bus"
"HEB-G",4,0,2006,"School bus"
"HEB-D",4,0,2006,"School bus"
"CNGB",4,0,2006,"School bus"
"EB",4,0,2006,"School bus"
"ICEB-G",5,9,2006,"School bus"
"ICEB-D",5,237,2006,"School bus"
"HEB-G",5,0,2006,"School bus"
"HEB-D",5,0,2006,"School bus"
"CNGB",5,0,2006,"School bus"
"EB",5,0,2006,"School bus"
"ICEB-G",6,13,2006,"School bus"
"ICEB-D",6,363,2006,"School bus"
"HEB-G",6,0,2006,"School bus"
"HEB-D",6,0,2006,"School bus"
"CNGB",6,0,2006,"School bus"
"EB",6,0,2006,"School bus"
"ICEB-G",7,8,2006,"School bus"
