"Technology","Age","Value","Year"
"ICEV-G",0,1,2005
"ICEV-D",0,5475,2005
"HEV-G",0,0,2005
"HEV-D",0,0,2005
"CNG",0,100,2005
"PHEV",0,0,2005
"BEV",0,0,2005
"ICEV-G",1,0,2005
"ICEV-D",1,4930,2005
"HEV-G",1,0,2005
"HEV-D",1,0,2005
"CNG",1,0,2005
"PHEV",1,0,2005
"BEV",1,0,2005
"ICEV-G",2,0,2005
"ICEV-D",2,4023,2005
"HEV-G",2,0,2005
"HEV-D",2,0,2005
"CNG",2,0,2005
"PHEV",2,0,2005
"BEV",2,0,2005
"ICEV-G",3,0,2005
"ICEV-D",3,2375,2005
"HEV-G",3,0,2005
"HEV-D",3,0,2005
"CNG",3,0,2005
"PHEV",3,0,2005
"BEV",3,0,2005
"ICEV-G",4,0,2005
"ICEV-D",4,1757,2005
"HEV-G",4,0,2005
"HEV-D",4,0,2005
"CNG",4,0,2005
"PHEV",4,0,2005
"BEV",4,0,2005
"ICEV-G",5,0,2005
"ICEV-D",5,540,2005
"HEV-G",5,0,2005
"HEV-D",5,0,2005
"CNG",5,0,2005
"PHEV",5,0,2005
"BEV",5,0,2005
"ICEV-G",6,0,2005
"ICEV-D",6,339,2005
"HEV-G",6,0,2005
"HEV-D",6,0,2005
"CNG",6,0,2005
"PHEV",6,0,2005
"BEV",6,0,2005
"ICEV-G",7,0,2005
"ICEV-D",7,432,2005
"HEV-G",7,0,2005
"HEV-D",7,0,2005
"CNG",7,0,2005
"PHEV",7,0,2005
"BEV",7,0,2005
"ICEV-G",8,0,2005
"ICEV-D",8,117,2005
"HEV-G",8,0,2005
"HEV-D",8,0,2005
"CNG",8,0,2005
"PHEV",8,0,2005
"BEV",8,0,2005
"ICEV-G",9,0,2005
"ICEV-D",9,166,2005
"HEV-G",9,0,2005
"HEV-D",9,0,2005
"CNG",9,0,2005
"PHEV",9,0,2005
"BEV",9,0,2005
"ICEV-G",10,0,2005
"ICEV-D",10,33,2005
"HEV-G",10,0,2005
"HEV-D",10,0,2005
"CNG",10,0,2005
"PHEV",10,0,2005
"BEV",10,0,2005
"ICEV-G",11,0,2005
"ICEV-D",11,40,2005
"HEV-G",11,0,2005
"HEV-D",11,0,2005
"CNG",11,0,2005
"PHEV",11,0,2005
"BEV",11,0,2005
"ICEV-G",12,0,2005
"ICEV-D",12,204,2005
"HEV-G",12,0,2005
"HEV-D",12,0,2005
"CNG",12,0,2005
"PHEV",12,0,2005
"BEV",12,0,2005
"ICEV-G",13,0,2005
"ICEV-D",13,635,2005
"HEV-G",13,0,2005
"HEV-D",13,0,2005
"CNG",13,0,2005
"PHEV",13,0,2005
"BEV",13,0,2005
"ICEV-G",14,0,2005
"ICEV-D",14,604,2005
"HEV-G",14,0,2005
"HEV-D",14,0,2005
"CNG",14,0,2005
"PHEV",14,0,2005
"BEV",14,0,2005
"ICEV-G",15,0,2005
"ICEV-D",15,612,2005
"HEV-G",15,0,2005
"HEV-D",15,0,2005
"CNG",15,0,2005
"PHEV",15,0,2005
"BEV",15,0,2005
"ICEV-G",0,0,2006
"ICEV-D",0,5477,2006
"HEV-G",0,0,2006
"HEV-D",0,0,2006
"CNG",0,4,2006
"PHEV",0,0,2006
"BEV",0,0,2006
"ICEV-G",1,1,2006
"ICEV-D",1,5470,2006
"HEV-G",1,0,2006
"HEV-D",1,0,2006
"CNG",1,100,2006
"PHEV",1,0,2006
"BEV",1,0,2006
"ICEV-G",2,0,2006
"ICEV-D",2,4763,2006
"HEV-G",2,0,2006
"HEV-D",2,0,2006
"CNG",2,0,2006
"PHEV",2,0,2006
"BEV",2,0,2006
"ICEV-G",3,0,2006
"ICEV-D",3,3225,2006
"HEV-G",3,0,2006
"HEV-D",3,0,2006
"CNG",3,0,2006
"PHEV",3,0,2006
"BEV",3,0,2006
"ICEV-G",4,0,2006
"ICEV-D",4,1331,2006
"HEV-G",4,0,2006
"HEV-D",4,0,2006
"CNG",4,0,2006
"PHEV",4,0,2006
"BEV",4,0,2006
"ICEV-G",5,0,2006
"ICEV-D",5,800,2006
"HEV-G",5,0,2006
"HEV-D",5,0,2006
"CNG",5,0,2006
"PHEV",5,0,2006
"BEV",5,0,2006
"ICEV-G",6,0,2006
"ICEV-D",6,298,2006
"HEV-G",6,0,2006
"HEV-D",6,0,2006
"CNG",6,0,2006
"PHEV",6,0,2006
"BEV",6,0,2006
"ICEV-G",7,0,2006
"ICEV-D",7,173,2006
"HEV-G",7,0,2006
"HEV-D",7,0,2006
"CNG",7,0,2006
"PHEV",7,0,2006
"BEV",7,0,2006
"ICEV-G",8,0,2006
"ICEV-D",8,227,2006
"HEV-G",8,0,2006
"HEV-D",8,0,2006
"CNG",8,0,2006
"PHEV",8,0,2006
"BEV",8,0,2006
"ICEV-G",9,0,2006
"ICEV-D",9,60,2006
"HEV-G",9,0,2006
"HEV-D",9,0,2006
"CNG",9,0,2006
"PHEV",9,0,2006
"BEV",9,0,2006
"ICEV-G",10,0,2006
"ICEV-D",10,58,2006
"HEV-G",10,0,2006
"HEV-D",10,0,2006
"CNG",10,0,2006
"PHEV",10,0,2006
"BEV",10,0,2006
"ICEV-G",11,0,2006
"ICEV-D",11,32,2006
"HEV-G",11,0,2006
"HEV-D",11,0,2006
"CNG",11,0,2006
"PHEV",11,0,2006
"BEV",11,0,2006
"ICEV-G",12,0,2006
"ICEV-D",12,38,2006
"HEV-G",12,0,2006
"HEV-D",12,0,2006
"CNG",12,0,2006
"PHEV",12,0,2006
"BEV",12,0,2006
"ICEV-G",13,0,2006
"ICEV-D",13,184,2006
"HEV-G",13,0,2006
"HEV-D",13,0,2006
"CNG",13,0,2006
"PHEV",13,0,2006
"BEV",13,0,2006
"ICEV-G",14,0,2006
"ICEV-D",14,560,2006
"HEV-G",14,0,2006
"HEV-D",14,0,2006
"CNG",14,0,2006
"PHEV",14,0,2006
"BEV",14,0,2006
"ICEV-G",15,0,2006
"ICEV-D",15,533,2006
"HEV-G",15,0,2006
"HEV-D",15,0,2006
"CNG",15,0,2006
"PHEV",15,0,2006
"BEV",15,0,2006
"ICEV-G",0,0,2007
"ICEV-D",0,4589,2007
"HEV-G",0,0,2007
"HEV-D",0,0,2007
"CNG",0,117,2007
"PHEV",0,0,2007
"BEV",0,0,2007
"ICEV-G",1,0,2007
"ICEV-D",1,5473,2007
"HEV-G",1,0,2007
"HEV-D",1,0,2007
"CNG",1,4,2007
"PHEV",1,0,2007
"BEV",1,0,2007
"ICEV-G",2,1,2007
"ICEV-D",2,5446,2007
"HEV-G",2,0,2007
"HEV-D",2,0,2007
"CNG",2,100,2007
"PHEV",2,0,2007
"BEV",2,0,2007
"ICEV-G",3,0,2007
"ICEV-D",3,4157,2007
"HEV-G",3,0,2007
"HEV-D",3,0,2007
"CNG",3,0,2007
"PHEV",3,0,2007
"BEV",3,0,2007
"ICEV-G",4,0,2007
"ICEV-D",4,2149,2007
"HEV-G",4,0,2007
"HEV-D",4,0,2007
"CNG",4,0,2007
"PHEV",4,0,2007
"BEV",4,0,2007
"ICEV-G",5,0,2007
"ICEV-D",5,648,2007
"HEV-G",5,0,2007
"HEV-D",5,0,2007
"CNG",5,0,2007
"PHEV",5,0,2007
"BEV",5,0,2007
"ICEV-G",6,0,2007
"ICEV-D",6,542,2007
"HEV-G",6,0,2007
"HEV-D",6,0,2007
"CNG",6,0,2007
"PHEV",6,0,2007
"BEV",6,0,2007
"ICEV-G",7,0,2007
"ICEV-D",7,186,2007
"HEV-G",7,0,2007
"HEV-D",7,0,2007
"CNG",7,0,2007
"PHEV",7,0,2007
"BEV",7,0,2007
"ICEV-G",8,0,2007
"ICEV-D",8,103,2007
"HEV-G",8,0,2007
"HEV-D",8,0,2007
"CNG",8,0,2007
"PHEV",8,0,2007
"BEV",8,0,2007
"ICEV-G",9,0,2007
"ICEV-D",9,117,2007
"HEV-G",9,0,2007
"HEV-D",9,0,2007
"CNG",9,0,2007
"PHEV",9,0,2007
"BEV",9,0,2007
"ICEV-G",10,0,2007
"ICEV-D",10,26,2007
"HEV-G",10,0,2007
"HEV-D",10,0,2007
"CNG",10,0,2007
"PHEV",10,0,2007
"BEV",10,0,2007
"ICEV-G",11,0,2007
"ICEV-D",11,58,2007
"HEV-G",11,0,2007
"HEV-D",11,0,2007
"CNG",11,0,2007
"PHEV",11,0,2007
"BEV",11,0,2007
"ICEV-G",12,0,2007
"ICEV-D",12,31,2007
"HEV-G",12,0,2007
"HEV-D",12,0,2007
"CNG",12,0,2007
"PHEV",12,0,2007
"BEV",12,0,2007
"ICEV-G",13,0,2007
"ICEV-D",13,36,2007
"HEV-G",13,0,2007
"HEV-D",13,0,2007
"CNG",13,0,2007
"PHEV",13,0,2007
"BEV",13,0,2007
"ICEV-G",14,0,2007
"ICEV-D",14,164,2007
"HEV-G",14,0,2007
"HEV-D",14,0,2007
"CNG",14,0,2007
"PHEV",14,0,2007
"BEV",14,0,2007
"ICEV-G",15,0,2007
"ICEV-D",15,499,2007
"HEV-G",15,0,2007
"HEV-D",15,0,2007
"CNG",15,0,2007
"PHEV",15,0,2007
"BEV",15,0,2007
"ICEV-G",0,10,2008
"ICEV-D",0,2465,2008
"HEV-G",0,0,2008
"HEV-D",0,0,2008
"CNG",0,763,2008
"PHEV",0,0,2008
"BEV",0,0,2008
"ICEV-G",1,0,2008
"ICEV-D",1,4586,2008
"HEV-G",1,0,2008
"HEV-D",1,0,2008
"CNG",1,117,2008
"PHEV",1,0,2008
"BEV",1,0,2008
"ICEV-G",2,0,2008
"ICEV-D",2,5464,2008
"HEV-G",2,0,2008
"HEV-D",2,0,2008
"CNG",2,4,2008
"PHEV",2,0,2008
"BEV",2,0,2008
"ICEV-G",3,1,2008
"ICEV-D",3,5141,2008
"HEV-G",3,0,2008
"HEV-D",3,0,2008
"CNG",3,94,2008
"PHEV",3,0,2008
"BEV",3,0,2008
"ICEV-G",4,0,2008
"ICEV-D",4,3088,2008
"HEV-G",4,0,2008
"HEV-D",4,0,2008
"CNG",4,0,2008
"PHEV",4,0,2008
"BEV",4,0,2008
"ICEV-G",5,0,2008
"ICEV-D",5,1225,2008
"HEV-G",5,0,2008
"HEV-D",5,0,2008
"CNG",5,0,2008
"PHEV",5,0,2008
"BEV",5,0,2008
"ICEV-G",6,0,2008
"ICEV-D",6,438,2008
"HEV-G",6,0,2008
"HEV-D",6,0,2008
"CNG",6,0,2008
"PHEV",6,0,2008
"BEV",6,0,2008
"ICEV-G",7,0,2008
"ICEV-D",7,392,2008
"HEV-G",7,0,2008
"HEV-D",7,0,2008
"CNG",7,0,2008
"PHEV",7,0,2008
"BEV",7,0,2008
"ICEV-G",8,0,2008
"ICEV-D",8,126,2008
"HEV-G",8,0,2008
"HEV-D",8,0,2008
"CNG",8,0,2008
"PHEV",8,0,2008
"BEV",8,0,2008
"ICEV-G",9,0,2008
"ICEV-D",9,58,2008
"HEV-G",9,0,2008
"HEV-D",9,0,2008
"CNG",9,0,2008
"PHEV",9,0,2008
"BEV",9,0,2008
"ICEV-G",10,0,2008
"ICEV-D",10,30,2008
"HEV-G",10,0,2008
"HEV-D",10,0,2008
"CNG",10,0,2008
"PHEV",10,0,2008
"BEV",10,0,2008
"ICEV-G",11,0,2008
"ICEV-D",11,26,2008
"HEV-G",11,0,2008
