"Fuel","Make","Vehicle_size","Representative_model","2015","2016","2017","2018","2019","FC"
"Petrol","MERCEDES BENZ","Coupe/ Convertible","E200 COUPE (R18 LED",0.0143377205264632,0.0103985692386306,0.0194675295033766,0.0160819542053956,0.0180113859442481,6.8
"Petrol","B.M.W.","Hatchback","X1 sDrive20i 5DR AT",0.00761691402968356,0.000753704649974451,0.000604164708725481,0.00732543640897756,0.0266980761680408,6.8
"Petrol","HONDA","Hatchback","CIVIC TYPE R 2.0",0.0199383926071129,0.0235564639754727,0.0149430071291436,0.0399002493765586,0.0755627535662871,8.8
"Petrol","MAZDA","Hatchback","MAZDA3 HATCHBACK",0.0114253710445253,0.00688553909044456,0.00879395298255978,0.0138999093176151,0.00340269598220128,6.1
"Petrol","MERCEDES BENZ","Hatchback","A180 FL AMG LINE",0.0207411556053393,0.0139499233520695,0.0121504235865902,0.00940829743822263,0.0144614579243555,5.4
"Petrol","NISSAN","Hatchback","NOTE 1.2 CVT",0.00573135442919817,0.0125063873275422,0.0144596753621632,0.0169179324416232,0.012089386205994,5
"Petrol","VOLKSWAGEN","Hatchback","GOLF GTI 2.0 TSI",0.02525903108373,0.0163132345426673,0.0167420753729039,0.013148945817275,0.0112223530951446,6.6
"Petrol","HONDA","Multi-purpose Vehicle/Station-wagon","ODYSSEY 2.4 EX-S CVT",0.0272379352188929,0.0418497700562085,0.0364378448773546,0.0351110859215597,0.03116411464468,8.1
"Petrol","MAZDA","Multi-purpose Vehicle/Station-wagon","MAZDA6 WAGON 2.5 AT",0.0208345001400168,0.0164920797138477,0.0214008565712981,0.00228122874631603,0.000294464075382803,7.2
"Petrol","TOYOTA","Multi-purpose Vehicle/Station-wagon","VELLFIRE 2.5Z",0.0543265191823019,0.0798926928972918,0.064699327363291,0.0471406710496486,0.0384439209527549,8.4
"Petrol","VOLKSWAGEN","Multi-purpose Vehicle/Station-wagon","TOURAN 1.4 TSI CL",0.00263231587790535,0.00430505876341339,0.00551803767302606,0.00984754024030832,0.00948828687344588,5.6
"Petrol","AUDI","Sedan","A4 2.0 TFSI QU",0.0253150378045365,0.0203755748594788,0.0199642871527731,0.0213528678304239,0.0149685904986258,6.2
"Petrol","B.M.W.","Sedan","520I",0.0313824325585737,0.0191492079713848,0.0219513177503591,0.0217496032645659,0.017945949483052,6.5
"Petrol","HONDA","Sedan","CIVIC 1.5 TURBO VTIS",0.0148231121067861,0.0228410832907512,0.0414591249009841,0.0473815461346633,0.0366934956157571,5.9
"Petrol","HYUNDAI","Sedan","ELANTRA AD 1.6 GLS",0.0270699150564734,0.0269672968829842,0.0375119154706443,0.0749121514395829,0.0792762727391703,6.9
"Petrol","KIA","Sedan","CERATO K3 1.6A",0.0232241202277607,0.0228155339805825,0.0351221084005746,0.0409345953298572,0.0486520088993587,6.8
"Petrol","MAZDA","Sedan","MAZDA3 SEDAN SPORTS",0.0608606366097265,0.0626469085334696,0.079360390961696,0.0475799138517343,0.0221175238843083,6.1
"Petrol","MERCEDES BENZ","Sedan","C200 SEDAN AMG LINE",0.0603752450294035,0.0414282064384262,0.0503470590604568,0.0494644071639084,0.0506805391964403,6.4
"Petrol","MITSUBISHI","Sedan","ATTRAGE 1.2 CVT",0.0106039391393634,0.0350919775166071,0.0329068378019145,0.0239458172749943,0.0235734851459233,4.9
"Petrol","NISSAN","Sedan","SYLPHY 1.6 CVT",0.0425837767198731,0.0184977005620848,0.0056657223796034,0.0163086601677624,0.0165227064520351,6.2
"Petrol","TOYOTA","Sedan","COROLLA ALTIS",0.121067861476711,0.0952733776188043,0.0730233744612865,0.0519014962593516,0.0717510797016097,6.4
"Petrol","VOLKSWAGEN","Sedan","PASSAT B8 1.8 TFSI",0.0224400261364697,0.0116377107818089,0.00586711061584523,0.00612106098390388,0.00405706059416307,5.9
"Petrol","AUDI","Sports Utility Vehicle","Q5 SPORT 2.0 TFSI QU",0.00720619807710259,0.0052248339294839,0.00839117651007612,0.0102442756744502,0.012089386205994,7.4
"Petrol","B.M.W.","Sports Utility Vehicle","X4 XDRIVE20I NAV",0.00905441986371698,0.0111650485436893,0.0164332800773331,0.0253202221718431,0.0342232692056014,7.8
"Petrol","HONDA","Sports Utility Vehicle","VEZEL 1.5X CVT",0.0846821618594231,0.129138988247317,0.0604836002846287,0.0470131489458173,0.0507132574270383,5.8
"Petrol","HYUNDAI","Sports Utility Vehicle","TL TUCSON 2.0 GLS AT",0.00356576122468029,0.00453500255493102,0.0100022824000107,0.00742462026751304,0.00462962962962963,7.9
"Petrol","KIA","Sports Utility Vehicle","SPORTAGE 2.0(A) FWD",0.00378978810790628,0.00084312723556464,0.00127545882953157,1.41691226479256e-05,0.0145923308467478,7.9
"Petrol","MAZDA","Sports Utility Vehicle","CX-5 2.0 AT STANDARD",0.0051899561280687,0.00385794583546244,0.00410832001933327,0.0127805486284289,0.0126783143567596,6.9
"Petrol","MERCEDES BENZ","Sports Utility Vehicle","AMG GLA45 4MATIC",0.00317371417903482,0.0111267245784364,0.0169166118443135,0.0227556109725686,0.0323419709462112,7.4
"Petrol","MITSUBISHI","Sports Utility Vehicle","OUTLANDER 2.0 CVT",0.0151031457108186,0.0112800204394481,0.0129559765315575,0.0195392201314895,0.025291192252323,6.6
