"Value","Year","Convergence_year","Scenario","Model","Unit","Target"
36.901353,2005,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
37.171597,2006,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
38.286019,2007,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
38.426592,2008,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
38.831762,2009,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
42.413616,2010,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
44.763911,2011,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
43.692284,2012,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
43.917804,2013,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
44.459324,2014,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
45.49601,2015,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
46.065234,2016,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
47.407144,2017,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
42.8695508887988,2018,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
43.3495070799277,2019,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
43.8294632710566,2020,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
41.6106681298728,2021,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
39.3918729886891,2022,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
37.1730778475053,2023,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
34.9542827063215,2024,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
32.7354875651378,2025,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
30.516692423954,2026,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
28.2978972827703,2027,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
26.0791021415865,2028,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
23.8603070004027,2029,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
21.641511859219,2030,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
20.5019247537844,2031,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
19.3623376483499,2032,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
18.2227505429153,2033,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
17.0831634374808,2034,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
15.9435763320462,2035,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
14.8039892266117,2036,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
13.6644021211771,2037,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
12.5248150157426,2038,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
11.385227910308,2039,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
10.2456408048735,2040,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
9.5739674283938,2041,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
8.90229405191413,2042,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
8.23062067543445,2043,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
7.55894729895478,2044,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
6.8872739224751,2045,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
6.21560054599543,2046,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
5.54392716951576,2047,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
4.87225379303608,2048,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
4.20058041655641,2049,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
3.52890704007674,2050,"grandfathering","SSP1-19","AIM/CGE","Mt CO2","1.5C"
36.901353,2005,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
37.171597,2006,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
38.286019,2007,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
38.426592,2008,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
38.831762,2009,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
42.413616,2010,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
44.763911,2011,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
43.692284,2012,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
43.917804,2013,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
44.459324,2014,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
45.49601,2015,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
46.065234,2016,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
47.407144,2017,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
43.9646631789269,2018,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
44.5815084063219,2019,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
45.1983536337168,2020,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
44.340157944393,2021,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
43.4819622550691,2022,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
42.6237665657453,2023,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
41.7655708764215,2024,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
40.9073751870977,2025,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
40.0491794977739,2026,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
39.19098380845,2027,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
38.3327881191262,2028,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
37.4745924298024,2029,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
36.6163967404786,2030,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
35.657442721376,2031,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
34.6984887022733,2032,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
33.7395346831707,2033,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
32.7805806640681,2034,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
31.8216266449655,2035,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
30.8626726258628,2036,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
29.9037186067602,2037,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
28.9447645876576,2038,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
27.985810568555,2039,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
27.0268565494523,2040,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
25.6533143440795,2041,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
24.2797721387066,2042,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
22.9062299333337,2043,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
21.5326877279608,2044,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
20.1591455225879,2045,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
18.785603317215,2046,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
17.4120611118421,2047,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
16.0385189064692,2048,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
14.6649767010963,2049,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
13.2914344957235,2050,"grandfathering","SSP1-19","GCAM4","Mt CO2","1.5C"
36.901353,2005,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
37.171597,2006,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
38.286019,2007,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
38.426592,2008,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
38.831762,2009,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
42.413616,2010,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
44.763911,2011,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
43.692284,2012,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
43.917804,2013,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
44.459324,2014,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
45.49601,2015,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
46.065234,2016,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
47.407144,2017,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
39.3170747118121,2018,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
39.3529713808177,2019,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
39.3888680498233,2020,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
38.0037831170093,2021,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
36.6186981841954,2022,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
