"Value","Year","Convergence_year","Scenario","Unit"
36.901353,2005,2030,"SSP1-19","Mt CO2"
37.171597,2006,2030,"SSP1-19","Mt CO2"
38.286019,2007,2030,"SSP1-19","Mt CO2"
38.426592,2008,2030,"SSP1-19","Mt CO2"
38.831762,2009,2030,"SSP1-19","Mt CO2"
42.413616,2010,2030,"SSP1-19","Mt CO2"
44.763911,2011,2030,"SSP1-19","Mt CO2"
43.692284,2012,2030,"SSP1-19","Mt CO2"
43.917804,2013,2030,"SSP1-19","Mt CO2"
44.459324,2014,2030,"SSP1-19","Mt CO2"
45.49601,2015,2030,"SSP1-19","Mt CO2"
46.065234,2016,2030,"SSP1-19","Mt CO2"
47.407144,2017,2030,"SSP1-19","Mt CO2"
48.3484695876818,2018,2030,"SSP1-19","Mt CO2"
47.1751989992103,2019,2030,"SSP1-19","Mt CO2"
45.7870719413185,2020,2030,"SSP1-19","Mt CO2"
41.3956086949532,2021,2030,"SSP1-19","Mt CO2"
37.1926556389914,2022,2030,"SSP1-19","Mt CO2"
33.1782127734329,2023,2030,"SSP1-19","Mt CO2"
29.3522800982779,2024,2030,"SSP1-19","Mt CO2"
25.7148576135262,2025,2030,"SSP1-19","Mt CO2"
22.265945319178,2026,2030,"SSP1-19","Mt CO2"
19.0055432152332,2027,2030,"SSP1-19","Mt CO2"
15.9336513016918,2028,2030,"SSP1-19","Mt CO2"
13.0502695785538,2029,2030,"SSP1-19","Mt CO2"
10.3553980458192,2030,2030,"SSP1-19","Mt CO2"
9.5307291708421,2031,2030,"SSP1-19","Mt CO2"
8.70606029586501,2032,2030,"SSP1-19","Mt CO2"
7.88139142088792,2033,2030,"SSP1-19","Mt CO2"
7.05672254591083,2034,2030,"SSP1-19","Mt CO2"
6.23205367093374,2035,2030,"SSP1-19","Mt CO2"
5.40738479595665,2036,2030,"SSP1-19","Mt CO2"
4.58271592097956,2037,2030,"SSP1-19","Mt CO2"
3.75804704600246,2038,2030,"SSP1-19","Mt CO2"
2.93337817102537,2039,2030,"SSP1-19","Mt CO2"
2.10870929604828,2040,2030,"SSP1-19","Mt CO2"
1.86376644651535,2041,2030,"SSP1-19","Mt CO2"
1.61882359698242,2042,2030,"SSP1-19","Mt CO2"
1.37388074744949,2043,2030,"SSP1-19","Mt CO2"
1.12893789791656,2044,2030,"SSP1-19","Mt CO2"
0.883995048383623,2045,2030,"SSP1-19","Mt CO2"
0.639052198850692,2046,2030,"SSP1-19","Mt CO2"
0.39410934931776,2047,2030,"SSP1-19","Mt CO2"
0.149166499784828,2048,2030,"SSP1-19","Mt CO2"
-0.0957763497481036,2049,2030,"SSP1-19","Mt CO2"
-0.340719199281036,2050,2030,"SSP1-19","Mt CO2"
36.901353,2005,2030,"SSP1-26","Mt CO2"
37.171597,2006,2030,"SSP1-26","Mt CO2"
38.286019,2007,2030,"SSP1-26","Mt CO2"
38.426592,2008,2030,"SSP1-26","Mt CO2"
38.831762,2009,2030,"SSP1-26","Mt CO2"
42.413616,2010,2030,"SSP1-26","Mt CO2"
44.763911,2011,2030,"SSP1-26","Mt CO2"
43.692284,2012,2030,"SSP1-26","Mt CO2"
43.917804,2013,2030,"SSP1-26","Mt CO2"
44.459324,2014,2030,"SSP1-26","Mt CO2"
45.49601,2015,2030,"SSP1-26","Mt CO2"
46.065234,2016,2030,"SSP1-26","Mt CO2"
47.407144,2017,2030,"SSP1-26","Mt CO2"
48.030378668594,2018,2030,"SSP1-26","Mt CO2"
46.7762840304823,2019,2030,"SSP1-26","Mt CO2"
45.3199360513116,2020,2030,"SSP1-26","Mt CO2"
42.7366512131216,2021,2030,"SSP1-26","Mt CO2"
40.0848728383585,2022,2030,"SSP1-26","Mt CO2"
37.3646009270223,2023,2030,"SSP1-26","Mt CO2"
34.575835479113,2024,2030,"SSP1-26","Mt CO2"
31.7185764946306,2025,2030,"SSP1-26","Mt CO2"
28.7928239735751,2026,2030,"SSP1-26","Mt CO2"
25.7985779159466,2027,2030,"SSP1-26","Mt CO2"
22.7358383217449,2028,2030,"SSP1-26","Mt CO2"
19.6046051909701,2029,2030,"SSP1-26","Mt CO2"
16.4048785236223,2030,2030,"SSP1-26","Mt CO2"
16.0834551463099,2031,2030,"SSP1-26","Mt CO2"
15.7620317689975,2032,2030,"SSP1-26","Mt CO2"
15.4406083916852,2033,2030,"SSP1-26","Mt CO2"
15.1191850143728,2034,2030,"SSP1-26","Mt CO2"
14.7977616370604,2035,2030,"SSP1-26","Mt CO2"
14.4763382597481,2036,2030,"SSP1-26","Mt CO2"
14.1549148824357,2037,2030,"SSP1-26","Mt CO2"
13.8334915051233,2038,2030,"SSP1-26","Mt CO2"
13.512068127811,2039,2030,"SSP1-26","Mt CO2"
13.1906447504986,2040,2030,"SSP1-26","Mt CO2"
12.9646709938962,2041,2030,"SSP1-26","Mt CO2"
12.7386972372938,2042,2030,"SSP1-26","Mt CO2"
12.5127234806915,2043,2030,"SSP1-26","Mt CO2"
12.2867497240891,2044,2030,"SSP1-26","Mt CO2"
12.0607759674867,2045,2030,"SSP1-26","Mt CO2"
11.8348022108844,2046,2030,"SSP1-26","Mt CO2"
11.608828454282,2047,2030,"SSP1-26","Mt CO2"
11.3828546976796,2048,2030,"SSP1-26","Mt CO2"
11.1568809410772,2049,2030,"SSP1-26","Mt CO2"
10.9309071844749,2050,2030,"SSP1-26","Mt CO2"
36.901353,2005,2040,"SSP1-19","Mt CO2"
37.171597,2006,2040,"SSP1-19","Mt CO2"
38.286019,2007,2040,"SSP1-19","Mt CO2"
38.426592,2008,2040,"SSP1-19","Mt CO2"
38.831762,2009,2040,"SSP1-19","Mt CO2"
42.413616,2010,2040,"SSP1-19","Mt CO2"
44.763911,2011,2040,"SSP1-19","Mt CO2"
43.692284,2012,2040,"SSP1-19","Mt CO2"
43.917804,2013,2040,"SSP1-19","Mt CO2"
44.459324,2014,2040,"SSP1-19","Mt CO2"
45.49601,2015,2040,"SSP1-19","Mt CO2"
46.065234,2016,2040,"SSP1-19","Mt CO2"
47.407144,2017,2040,"SSP1-19","Mt CO2"
49.6069276822825,2018,2040,"SSP1-19","Mt CO2"
49.7862144281016,2019,2040,"SSP1-19","Mt CO2"
49.8447439441901,2020,2040,"SSP1-19","Mt CO2"
46.640716957208,2021,2040,"SSP1-19","Mt CO2"
43.5426396231757,2022,2040,"SSP1-19","Mt CO2"
40.5505119420931,2023,2040,"SSP1-19","Mt CO2"
37.6643339139603,2024,2040,"SSP1-19","Mt CO2"
34.8841055387773,2025,2040,"SSP1-19","Mt CO2"
32.209826816544,2026,2040,"SSP1-19","Mt CO2"
29.6414977472604,2027,2040,"SSP1-19","Mt CO2"
27.1791183309266,2028,2040,"SSP1-19","Mt CO2"
24.8226885675426,2029,2040,"SSP1-19","Mt CO2"
22.5722084571083,2030,2040,"SSP1-19","Mt CO2"
19.6646907036552,2031,2040,"SSP1-19","Mt CO2"
16.9492539072662,2032,2040,"SSP1-19","Mt CO2"
14.4258980679415,2033,2040,"SSP1-19","Mt CO2"
12.0946231856809,2034,2040,"SSP1-19","Mt CO2"
9.95542926048453,2035,2040,"SSP1-19","Mt CO2"
8.00831629235235,2036,2040,"SSP1-19","Mt CO2"
6.25328428128435,2037,2040,"SSP1-19","Mt CO2"
4.69033322728053,2038,2040,"SSP1-19","Mt CO2"
3.31946313034091,2039,2040,"SSP1-19","Mt CO2"
2.14067399046547,2040,2040,"SSP1-19","Mt CO2"
1.89201819512741,2041,2040,"SSP1-19","Mt CO2"
1.64336239978935,2042,2040,"SSP1-19","Mt CO2"
1.39470660445129,2043,2040,"SSP1-19","Mt CO2"
1.14605080911323,2044,2040,"SSP1-19","Mt CO2"
0.897395013775174,2045,2040,"SSP1-19","Mt CO2"
0.648739218437115,2046,2040,"SSP1-19","Mt CO2"
0.400083423099056,2047,2040,"SSP1-19","Mt CO2"
0.151427627760997,2048,2040,"SSP1-19","Mt CO2"
-0.0972281675770613,2049,2040,"SSP1-19","Mt CO2"
-0.34588396291512,2050,2040,"SSP1-19","Mt CO2"
36.901353,2005,2040,"SSP1-26","Mt CO2"
37.171597,2006,2040,"SSP1-26","Mt CO2"
38.286019,2007,2040,"SSP1-26","Mt CO2"
38.426592,2008,2040,"SSP1-26","Mt CO2"
38.831762,2009,2040,"SSP1-26","Mt CO2"
42.413616,2010,2040,"SSP1-26","Mt CO2"
44.763911,2011,2040,"SSP1-26","Mt CO2"
43.692284,2012,2040,"SSP1-26","Mt CO2"
43.917804,2013,2040,"SSP1-26","Mt CO2"
44.459324,2014,2040,"SSP1-26","Mt CO2"
45.49601,2015,2040,"SSP1-26","Mt CO2"
46.065234,2016,2040,"SSP1-26","Mt CO2"
47.407144,2017,2040,"SSP1-26","Mt CO2"
49.2805572024276,2018,2040,"SSP1-26","Mt CO2"
49.3652206306615,2019,2040,"SSP1-26","Mt CO2"
49.336210250348,2020,2040,"SSP1-26","Mt CO2"
48.1516787835792,2021,2040,"SSP1-26","Mt CO2"
46.9286514327753,2022,2040,"SSP1-26","Mt CO2"
45.6671281979361,2023,2040,"SSP1-26","Mt CO2"
44.3671090790618,2024,2040,"SSP1-26","Mt CO2"
43.0285940761523,2025,2040,"SSP1-26","Mt CO2"
41.6515831892076,2026,2040,"SSP1-26","Mt CO2"
40.2360764182277,2027,2040,"SSP1-26","Mt CO2"
38.7820737632127,2028,2040,"SSP1-26","Mt CO2"
37.2895752241624,2029,2040,"SSP1-26","Mt CO2"
35.758580801077,2030,2040,"SSP1-26","Mt CO2"
33.1848870352855,2031,2040,"SSP1-26","Mt CO2"
30.6860588450119,2032,2040,"SSP1-26","Mt CO2"
28.2620962302564,2033,2040,"SSP1-26","Mt CO2"
25.912999191019,2034,2040,"SSP1-26","Mt CO2"
23.6387677272995,2035,2040,"SSP1-26","Mt CO2"
21.4394018390981,2036,2040,"SSP1-26","Mt CO2"
19.3149015264147,2037,2040,"SSP1-26","Mt CO2"
17.2652667892493,2038,2040,"SSP1-26","Mt CO2"
15.290497627602,2039,2040,"SSP1-26","Mt CO2"
13.3905940414727,2040,2040,"SSP1-26","Mt CO2"
13.1611948804821,2041,2040,"SSP1-26","Mt CO2"
12.9317957194916,2042,2040,"SSP1-26","Mt CO2"
12.702396558501,2043,2040,"SSP1-26","Mt CO2"
12.4729973975104,2044,2040,"SSP1-26","Mt CO2"
12.2435982365199,2045,2040,"SSP1-26","Mt CO2"
12.0141990755293,2046,2040,"SSP1-26","Mt CO2"
11.7847999145388,2047,2040,"SSP1-26","Mt CO2"
11.5554007535482,2048,2040,"SSP1-26","Mt CO2"
11.3260015925576,2049,2040,"SSP1-26","Mt CO2"
11.0966024315671,2050,2040,"SSP1-26","Mt CO2"
36.901353,2005,2050,"SSP1-19","Mt CO2"
37.171597,2006,2050,"SSP1-19","Mt CO2"
38.286019,2007,2050,"SSP1-19","Mt CO2"
38.426592,2008,2050,"SSP1-19","Mt CO2"
38.831762,2009,2050,"SSP1-19","Mt CO2"
42.413616,2010,2050,"SSP1-19","Mt CO2"
44.763911,2011,2050,"SSP1-19","Mt CO2"
43.692284,2012,2050,"SSP1-19","Mt CO2"
43.917804,2013,2050,"SSP1-19","Mt CO2"
44.459324,2014,2050,"SSP1-19","Mt CO2"
45.49601,2015,2050,"SSP1-19","Mt CO2"
46.065234,2016,2050,"SSP1-19","Mt CO2"
47.407144,2017,2050,"SSP1-19","Mt CO2"
50.1050576164532,2018,2050,"SSP1-19","Mt CO2"
50.8197211847368,2019,2050,"SSP1-19","Mt CO2"
51.4508744115838,2020,2050,"SSP1-19","Mt CO2"
48.7168650980198,2021,2050,"SSP1-19","Mt CO2"
46.0561258628823,2022,2050,"SSP1-19","Mt CO2"
43.4686567061714,2023,2050,"SSP1-19","Mt CO2"
40.9544576278869,2024,2050,"SSP1-19","Mt CO2"
38.513528628029,2025,2050,"SSP1-19","Mt CO2"
36.1458697065975,2026,2050,"SSP1-19","Mt CO2"
33.8514808635926,2027,2050,"SSP1-19","Mt CO2"
31.6303620990142,2028,2050,"SSP1-19","Mt CO2"
29.4825134128623,2029,2050,"SSP1-19","Mt CO2"
27.4079348051369,2030,2050,"SSP1-19","Mt CO2"
24.4576719657963,2031,2050,"SSP1-19","Mt CO2"
21.6402437927006,2032,2050,"SSP1-19","Mt CO2"
18.9556502858496,2033,2050,"SSP1-19","Mt CO2"
16.4038914452435,2034,2050,"SSP1-19","Mt CO2"
13.9849672708821,2035,2050,"SSP1-19","Mt CO2"
11.6988777627655,2036,2050,"SSP1-19","Mt CO2"
9.54562292089373,2037,2050,"SSP1-19","Mt CO2"
7.52520274526674,2038,2050,"SSP1-19","Mt CO2"
5.63761723588453,2039,2050,"SSP1-19","Mt CO2"
3.88286639274712,2040,2050,"SSP1-19","Mt CO2"
3.2817371481467,2041,2050,"SSP1-19","Mt CO2"
2.72006240783766,2042,2050,"SSP1-19","Mt CO2"
2.19784217182001,2043,2050,"SSP1-19","Mt CO2"
1.71507644009374,2044,2050,"SSP1-19","Mt CO2"
1.27176521265886,2045,2050,"SSP1-19","Mt CO2"
0.867908489515365,2046,2050,"SSP1-19","Mt CO2"
0.503506270663252,2047,2050,"SSP1-19","Mt CO2"
0.178558556102524,2048,2050,"SSP1-19","Mt CO2"
-0.106934654166818,2049,2050,"SSP1-19","Mt CO2"
-0.352973360144776,2050,2050,"SSP1-19","Mt CO2"
36.901353,2005,2050,"SSP1-26","Mt CO2"
37.171597,2006,2050,"SSP1-26","Mt CO2"
38.286019,2007,2050,"SSP1-26","Mt CO2"
38.426592,2008,2050,"SSP1-26","Mt CO2"
38.831762,2009,2050,"SSP1-26","Mt CO2"
42.413616,2010,2050,"SSP1-26","Mt CO2"
44.763911,2011,2050,"SSP1-26","Mt CO2"
43.692284,2012,2050,"SSP1-26","Mt CO2"
43.917804,2013,2050,"SSP1-26","Mt CO2"
44.459324,2014,2050,"SSP1-26","Mt CO2"
45.49601,2015,2050,"SSP1-26","Mt CO2"
46.065234,2016,2050,"SSP1-26","Mt CO2"
47.407144,2017,2050,"SSP1-26","Mt CO2"
49.7754098744649,2018,2050,"SSP1-26","Mt CO2"
50.3899880216077,2019,2050,"SSP1-26","Mt CO2"
50.9259544070749,2020,2050,"SSP1-26","Mt CO2"
50.2950853370251,2021,2050,"SSP1-26","Mt CO2"
49.6375942218451,2022,2050,"SSP1-26","Mt CO2"
48.953481061535,2023,2050,"SSP1-26","Mt CO2"
48.2427458560946,2024,2050,"SSP1-26","Mt CO2"
47.5053886055241,2025,2050,"SSP1-26","Mt CO2"
46.7414093098233,2026,2050,"SSP1-26","Mt CO2"
45.9508079689924,2027,2050,"SSP1-26","Mt CO2"
45.1335845830314,2028,2050,"SSP1-26","Mt CO2"
44.2897391519401,2029,2050,"SSP1-26","Mt CO2"
43.4192716757186,2030,2050,"SSP1-26","Mt CO2"
41.2732187636269,2031,2050,"SSP1-26","Mt CO2"
39.1789395613769,2032,2050,"SSP1-26","Mt CO2"
37.1364340689686,2033,2050,"SSP1-26","Mt CO2"
35.1457022864021,2034,2050,"SSP1-26","Mt CO2"
33.2067442136772,2035,2050,"SSP1-26","Mt CO2"
31.3195598507941,2036,2050,"SSP1-26","Mt CO2"
29.4841491977527,2037,2050,"SSP1-26","Mt CO2"
27.7005122545531,2038,2050,"SSP1-26","Mt CO2"
25.9686490211951,2039,2050,"SSP1-26","Mt CO2"
24.2885594976789,2040,2050,"SSP1-26","Mt CO2"
22.8283122564621,2041,2050,"SSP1-26","Mt CO2"
21.4044640469648,2042,2050,"SSP1-26","Mt CO2"
20.0170148691871,2043,2050,"SSP1-26","Mt CO2"
18.6659647231287,2044,2050,"SSP1-26","Mt CO2"
17.3513136087899,2045,2050,"SSP1-26","Mt CO2"
16.0730615261705,2046,2050,"SSP1-26","Mt CO2"
14.8312084752707,2047,2050,"SSP1-26","Mt CO2"
13.6257544560903,2048,2050,"SSP1-26","Mt CO2"
12.4566994686293,2049,2050,"SSP1-26","Mt CO2"
11.3240435128879,2050,2050,"SSP1-26","Mt CO2"
36.901353,2005,NA,"INDC","Mt CO2"
37.171597,2006,NA,"INDC","Mt CO2"
38.286019,2007,NA,"INDC","Mt CO2"
38.426592,2008,NA,"INDC","Mt CO2"
38.831762,2009,NA,"INDC","Mt CO2"
42.413616,2010,NA,"INDC","Mt CO2"
44.763911,2011,NA,"INDC","Mt CO2"
43.692284,2012,NA,"INDC","Mt CO2"
43.917804,2013,NA,"INDC","Mt CO2"
44.459324,2014,NA,"INDC","Mt CO2"
45.49601,2015,NA,"INDC","Mt CO2"
46.065234,2016,NA,"INDC","Mt CO2"
47.407144,2017,NA,"INDC","Mt CO2"
48.5880985968584,2018,NA,"INDC","Mt CO2"
50.8522891362556,2019,NA,"INDC","Mt CO2"
53.0837351092296,2020,NA,"INDC","Mt CO2"
53.6383368251172,2021,NA,"INDC","Mt CO2"
54.1813987413191,2022,NA,"INDC","Mt CO2"
54.7129208578354,2023,NA,"INDC","Mt CO2"
55.2329031746659,2024,NA,"INDC","Mt CO2"
55.7413456918108,2025,NA,"INDC","Mt CO2"
56.0704725756657,2026,NA,"INDC","Mt CO2"
56.390295644219,2027,NA,"INDC","Mt CO2"
56.7008148974705,2028,NA,"INDC","Mt CO2"
57.0020303354203,2029,NA,"INDC","Mt CO2"
57.2939419580684,2030,NA,"INDC","Mt CO2"
