Unit,Mode,Sector,Phase,Process,Source
kg / unit,Bus,Manufacturing,Vehicle production,"Bus production, without battery",ecoinvent
kg / unit,Motorcycle,Manufacturing,Vehicle production,"Motorcycle production, without battery",ecoinvent
kg / unit,Car,Manufacturing,Vehicle production,"Vehicle production, without battery",ecoinvent
kg / kwh,all,Manufacturing,Vehicle production,Battery production,lit
kg / L,all,Energy,Fuel Production,Gasoline,GREET
kg / kWh,all,Energy,Fuel Production,Electricity,ecoInvent
kg / L,all,Energy,Fuel Production,Diesel,GREET
kg / L,all,Energy,Fuel Production,CNG,GREET
kg / L,all,Transportation,Fuel Use,Gasoline,IPCC
kg / kWh,all,Transportation,Fuel Use,Electricity,ecoInvent
kg / L,all,Transportation,Fuel Use,Diesel,IPCC
kg / L,all,Transportation,Fuel Use,CNG,IPCC
