Fuel,Make,Coupe/ Convertible,Hatchback,Multi-purpose Vehicle/Station-wagon,Sedan,Sports Utility Vehicle
Petrol,AUDI,,,,A4 2.0 TFSI QU,Q5 SPORT 2.0 TFSI QU
Petrol,B.M.W.,,X1 sDrive20i 5DR AT,,520I,X4 XDRIVE20I NAV
Petrol,HONDA,,CIVIC 1.5 TURBO 5DR,ODYSSEY 2.4 EX-S CVT,CIVIC 1.5 TURBO VTIS,CRV 1.5 TURBO CVT
Petrol,HYUNDAI,,,,ACCENT (RB) 1.4 CVT,TL TUCSON 2.0 GLS AT
Petrol,KIA,,,,CERATO 1.6(A),SPORTAGE 2.0(A) FWD
Petrol,MAZDA,,MAZDA3 HATCHBACK,MAZDA6 WAGON 2.5 AT,MAZDA3 SEDAN SPORTS,CX-5 2.0 AT STANDARD
Petrol,MERCEDES BENZ,E200 COUPE (R18 LED,A180 FL AMG LINE,,C200 SEDAN AMG LINE,AMG GLA45 4MATIC
Petrol,MITSUBISHI,,,,ATTRAGE 1.2 CVT,OUTLANDER 2.0 CVT
Petrol,NISSAN,,NOTE 1.2 CVT,,SYLPHY 1.6 CVT,QASHQAI 2.0 CVT
Petrol,SUBARU,,,,,FORESTER 2.0I-L AWD
Petrol,TOYOTA,,,VELLFIRE 2.5Z,COROLLA ALTIS,FORTUNER TRD (AUTO)
Petrol,VOLKSWAGEN,,GOLF GTI 2.0 TSI,TOURAN 1.4 TSI CL,PASSAT B8 1.8 TFSI,
Petrol,VOLVO,,,,,XC60 T5
