"Mode","Unit","2005","2010","2015","2019"
"LRT","km/(veh.year)",NA,NA,NA,NA
"Motorcycle","km/(veh.year)",13711,13500,12800,13000
"MRT","km/(veh.year)",NA,NA,NA,NA
"Private bus","km/(veh.year)",47540,51200,43300,43100
"Private car","km/(veh.year)",20603,19100,17300,17500
"Private hire car","km/(veh.year)",41206,38200,34600,35000
"Public bus","km/(veh.year)",83442.2200611281,77041.0512434062,64741.6640904276,58658.5662359701
"School bus","km/(veh.year)",46269,48400,52100,44800
"Taxi","km/(veh.year)",80416.0300227852,67895.1822081957,74596.209551445,66974.9757307734
