"Year","Mode","Value","Unit"
2005,"Rapid transit","4.14e-02","Mt CO2 eq."
2006,"Rapid transit","4.17e-02","Mt CO2 eq."
2007,"Rapid transit","4.30e-02","Mt CO2 eq."
2008,"Rapid transit","4.63e-02","Mt CO2 eq."
2009,"Rapid transit","5.00e-02","Mt CO2 eq."
2010,"Rapid transit","5.53e-02","Mt CO2 eq."
2011,"Rapid transit","6.12e-02","Mt CO2 eq."
2012,"Rapid transit","7.13e-02","Mt CO2 eq."
2013,"Rapid transit","7.24e-02","Mt CO2 eq."
2014,"Rapid transit","7.73e-02","Mt CO2 eq."
2015,"Rapid transit","8.15e-02","Mt CO2 eq."
2016,"Rapid transit","9.57e-02","Mt CO2 eq."
2017,"Rapid transit","1.02e-01","Mt CO2 eq."
2018,"Rapid transit","1.13e-01","Mt CO2 eq."
2019,"Rapid transit","1.13e-01","Mt CO2 eq."
2005,"Bus","1.05e+00","Mt CO2 eq."
2006,"Bus","1.10e+00","Mt CO2 eq."
2007,"Bus","1.15e+00","Mt CO2 eq."
2008,"Bus","1.17e+00","Mt CO2 eq."
2009,"Bus","1.24e+00","Mt CO2 eq."
2010,"Bus","1.27e+00","Mt CO2 eq."
2011,"Bus","1.34e+00","Mt CO2 eq."
2012,"Bus","1.36e+00","Mt CO2 eq."
2013,"Bus","1.38e+00","Mt CO2 eq."
2014,"Bus","1.41e+00","Mt CO2 eq."
2015,"Bus","1.35e+00","Mt CO2 eq."
2016,"Bus","1.35e+00","Mt CO2 eq."
2017,"Bus","1.40e+00","Mt CO2 eq."
2018,"Bus","1.29e+00","Mt CO2 eq."
2019,"Bus","1.31e+00","Mt CO2 eq."
2005,"Taxi","3.49e-01","Mt CO2 eq."
2006,"Taxi","3.43e-01","Mt CO2 eq."
2007,"Taxi","3.50e-01","Mt CO2 eq."
2008,"Taxi","3.04e-01","Mt CO2 eq."
2009,"Taxi","3.16e-01","Mt CO2 eq."
2010,"Taxi","3.61e-01","Mt CO2 eq."
2011,"Taxi","3.75e-01","Mt CO2 eq."
2012,"Taxi","3.88e-01","Mt CO2 eq."
2013,"Taxi","3.88e-01","Mt CO2 eq."
2014,"Taxi","4.14e-01","Mt CO2 eq."
2015,"Taxi","4.06e-01","Mt CO2 eq."
2016,"Taxi","3.76e-01","Mt CO2 eq."
2017,"Taxi","2.94e-01","Mt CO2 eq."
2018,"Taxi","2.14e-01","Mt CO2 eq."
2019,"Taxi","2.14e-01","Mt CO2 eq."
2005,"Motorcycle","1.33e-01","Mt CO2 eq."
2006,"Motorcycle","1.41e-01","Mt CO2 eq."
2007,"Motorcycle","1.37e-01","Mt CO2 eq."
2008,"Motorcycle","1.35e-01","Mt CO2 eq."
2009,"Motorcycle","1.34e-01","Mt CO2 eq."
2010,"Motorcycle","1.38e-01","Mt CO2 eq."
2011,"Motorcycle","1.35e-01","Mt CO2 eq."
2012,"Motorcycle","1.32e-01","Mt CO2 eq."
2013,"Motorcycle","1.30e-01","Mt CO2 eq."
2014,"Motorcycle","1.28e-01","Mt CO2 eq."
2015,"Motorcycle","1.27e-01","Mt CO2 eq."
2016,"Motorcycle","1.32e-01","Mt CO2 eq."
2017,"Motorcycle","1.30e-01","Mt CO2 eq."
2018,"Motorcycle","1.22e-01","Mt CO2 eq."
2019,"Motorcycle","1.32e-01","Mt CO2 eq."
2005,"Private car","3.11e+00","Mt CO2 eq."
2006,"Private car","3.32e+00","Mt CO2 eq."
2007,"Private car","3.43e+00","Mt CO2 eq."
2008,"Private car","3.55e+00","Mt CO2 eq."
2009,"Private car","3.32e+00","Mt CO2 eq."
2010,"Private car","2.95e+00","Mt CO2 eq."
2011,"Private car","2.83e+00","Mt CO2 eq."
2012,"Private car","2.83e+00","Mt CO2 eq."
2013,"Private car","2.78e+00","Mt CO2 eq."
2014,"Private car","2.79e+00","Mt CO2 eq."
2015,"Private car","3.03e+00","Mt CO2 eq."
2016,"Private car","3.18e+00","Mt CO2 eq."
2017,"Private car","3.19e+00","Mt CO2 eq."
2018,"Private car","3.32e+00","Mt CO2 eq."
2019,"Private car","3.34e+00","Mt CO2 eq."
