"Mode","Category","Value"
"Bus","Diesel prod.","1.92e-01"
"Private car","Diesel prod.","1.07e-03"
"Taxi","Diesel prod.","1.74e-01"
"Bus","Diesel use","7.75e-01"
"Private car","Diesel use","4.30e-03"
"Taxi","Diesel use","6.99e-01"
"Bus","Electricity prod.","3.29e-05"
"Motorcycle","Electricity prod.","4.74e-06"
"Private car","Electricity prod.","1.14e-04"
"Rapid transit","Electricity prod.","1.00e+00"
"Taxi","Electricity prod.","3.08e-04"
"Motorcycle","Gasoline prod.","2.13e-01"
"Private car","Gasoline prod.","1.91e-01"
"Taxi","Gasoline prod.","1.31e-02"
"Motorcycle","Gasoline use","7.55e-01"
"Private car","Gasoline use","6.77e-01"
"Taxi","Gasoline use","4.65e-02"
"Bus","Vehicle prod.","3.30e-02"
"Motorcycle","Vehicle prod.","3.26e-02"
"Private car","Vehicle prod.","1.26e-01"
"Taxi","Vehicle prod.","6.78e-02"
"TOTAL","Diesel prod.","6.17e-02"
"TOTAL","Diesel use","2.49e-01"
"TOTAL","Electricity prod.","1.45e-02"
"TOTAL","Gasoline prod.","1.28e-01"
"TOTAL","Gasoline use","4.53e-01"
"TOTAL","Vehicle prod.","9.41e-02"
