"Scenario","Electrification target year","Electricity GHG intensity","Value","Unit"
"Private car ubiquity (PC)",2030,0.413,"1.39e+02","Mt CO2 eq."
"Public transit development (PT)",2030,0.413,"1.06e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2031,0.413,"1.39e+02","Mt CO2 eq."
"Public transit development (PT)",2031,0.413,"1.06e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2032,0.413,"1.39e+02","Mt CO2 eq."
"Public transit development (PT)",2032,0.413,"1.06e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2033,0.413,"1.40e+02","Mt CO2 eq."
"Public transit development (PT)",2033,0.413,"1.07e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2034,0.413,"1.41e+02","Mt CO2 eq."
"Public transit development (PT)",2034,0.413,"1.08e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2035,0.413,"1.42e+02","Mt CO2 eq."
"Public transit development (PT)",2035,0.413,"1.08e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2036,0.413,"1.43e+02","Mt CO2 eq."
"Public transit development (PT)",2036,0.413,"1.09e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2037,0.413,"1.44e+02","Mt CO2 eq."
"Public transit development (PT)",2037,0.413,"1.09e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2038,0.413,"1.45e+02","Mt CO2 eq."
"Public transit development (PT)",2038,0.413,"1.10e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2039,0.413,"1.46e+02","Mt CO2 eq."
"Public transit development (PT)",2039,0.413,"1.11e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2040,0.413,"1.47e+02","Mt CO2 eq."
"Public transit development (PT)",2040,0.413,"1.11e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2041,0.413,"1.48e+02","Mt CO2 eq."
"Public transit development (PT)",2041,0.413,"1.12e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2042,0.413,"1.49e+02","Mt CO2 eq."
"Public transit development (PT)",2042,0.413,"1.13e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2043,0.413,"1.51e+02","Mt CO2 eq."
"Public transit development (PT)",2043,0.413,"1.13e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2044,0.413,"1.52e+02","Mt CO2 eq."
"Public transit development (PT)",2044,0.413,"1.14e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2045,0.413,"1.53e+02","Mt CO2 eq."
"Public transit development (PT)",2045,0.413,"1.15e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2046,0.413,"1.54e+02","Mt CO2 eq."
"Public transit development (PT)",2046,0.413,"1.15e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2047,0.413,"1.55e+02","Mt CO2 eq."
"Public transit development (PT)",2047,0.413,"1.16e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2048,0.413,"1.56e+02","Mt CO2 eq."
"Public transit development (PT)",2048,0.413,"1.17e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2049,0.413,"1.57e+02","Mt CO2 eq."
"Public transit development (PT)",2049,0.413,"1.17e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2050,0.413,"1.58e+02","Mt CO2 eq."
"Public transit development (PT)",2050,0.413,"1.18e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2030,0.3717,"1.32e+02","Mt CO2 eq."
"Public transit development (PT)",2030,0.3717,"1.01e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2031,0.3717,"1.32e+02","Mt CO2 eq."
"Public transit development (PT)",2031,0.3717,"1.01e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2032,0.3717,"1.33e+02","Mt CO2 eq."
"Public transit development (PT)",2032,0.3717,"1.02e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2033,0.3717,"1.34e+02","Mt CO2 eq."
"Public transit development (PT)",2033,0.3717,"1.03e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2034,0.3717,"1.35e+02","Mt CO2 eq."
"Public transit development (PT)",2034,0.3717,"1.03e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2035,0.3717,"1.36e+02","Mt CO2 eq."
"Public transit development (PT)",2035,0.3717,"1.04e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2036,0.3717,"1.37e+02","Mt CO2 eq."
"Public transit development (PT)",2036,0.3717,"1.05e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2037,0.3717,"1.39e+02","Mt CO2 eq."
"Public transit development (PT)",2037,0.3717,"1.05e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2038,0.3717,"1.40e+02","Mt CO2 eq."
"Public transit development (PT)",2038,0.3717,"1.06e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2039,0.3717,"1.41e+02","Mt CO2 eq."
"Public transit development (PT)",2039,0.3717,"1.07e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2040,0.3717,"1.42e+02","Mt CO2 eq."
"Public transit development (PT)",2040,0.3717,"1.07e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2041,0.3717,"1.43e+02","Mt CO2 eq."
"Public transit development (PT)",2041,0.3717,"1.08e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2042,0.3717,"1.44e+02","Mt CO2 eq."
"Public transit development (PT)",2042,0.3717,"1.09e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2043,0.3717,"1.46e+02","Mt CO2 eq."
"Public transit development (PT)",2043,0.3717,"1.10e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2044,0.3717,"1.47e+02","Mt CO2 eq."
"Public transit development (PT)",2044,0.3717,"1.10e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2045,0.3717,"1.48e+02","Mt CO2 eq."
"Public transit development (PT)",2045,0.3717,"1.11e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2046,0.3717,"1.49e+02","Mt CO2 eq."
"Public transit development (PT)",2046,0.3717,"1.12e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2047,0.3717,"1.50e+02","Mt CO2 eq."
"Public transit development (PT)",2047,0.3717,"1.13e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2048,0.3717,"1.52e+02","Mt CO2 eq."
"Public transit development (PT)",2048,0.3717,"1.14e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2049,0.3717,"1.53e+02","Mt CO2 eq."
"Public transit development (PT)",2049,0.3717,"1.14e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2050,0.3717,"1.54e+02","Mt CO2 eq."
"Public transit development (PT)",2050,0.3717,"1.15e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2030,0.3304,"1.26e+02","Mt CO2 eq."
"Public transit development (PT)",2030,0.3304,"9.68e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2031,0.3304,"1.26e+02","Mt CO2 eq."
"Public transit development (PT)",2031,0.3304,"9.68e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2032,0.3304,"1.27e+02","Mt CO2 eq."
"Public transit development (PT)",2032,0.3304,"9.75e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2033,0.3304,"1.28e+02","Mt CO2 eq."
"Public transit development (PT)",2033,0.3304,"9.83e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2034,0.3304,"1.29e+02","Mt CO2 eq."
"Public transit development (PT)",2034,0.3304,"9.90e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2035,0.3304,"1.31e+02","Mt CO2 eq."
