"Scenario","Electrification target year","PT modal share change","Motorized pkt change","Value","Unit"
"Constant",2030,"0%","0%","1.30e+02","Mt CO2 eq."
"Transition to renewable",2030,"0%","0%","8.20e+01","Mt CO2 eq."
"Constant",2032,"0%","0%","1.31e+02","Mt CO2 eq."
"Transition to renewable",2032,"0%","0%","8.33e+01","Mt CO2 eq."
"Constant",2034,"0%","0%","1.32e+02","Mt CO2 eq."
"Transition to renewable",2034,"0%","0%","8.60e+01","Mt CO2 eq."
"Constant",2036,"0%","0%","1.34e+02","Mt CO2 eq."
"Transition to renewable",2036,"0%","0%","8.88e+01","Mt CO2 eq."
"Constant",2038,"0%","0%","1.36e+02","Mt CO2 eq."
"Transition to renewable",2038,"0%","0%","9.20e+01","Mt CO2 eq."
"Constant",2040,"0%","0%","1.38e+02","Mt CO2 eq."
"Transition to renewable",2040,"0%","0%","9.55e+01","Mt CO2 eq."
"Constant",2042,"0%","0%","1.40e+02","Mt CO2 eq."
"Transition to renewable",2042,"0%","0%","9.91e+01","Mt CO2 eq."
"Constant",2044,"0%","0%","1.42e+02","Mt CO2 eq."
"Transition to renewable",2044,"0%","0%","1.03e+02","Mt CO2 eq."
"Constant",2046,"0%","0%","1.44e+02","Mt CO2 eq."
"Transition to renewable",2046,"0%","0%","1.07e+02","Mt CO2 eq."
"Constant",2048,"0%","0%","1.46e+02","Mt CO2 eq."
"Transition to renewable",2048,"0%","0%","1.10e+02","Mt CO2 eq."
"Constant",2050,"0%","0%","1.47e+02","Mt CO2 eq."
"Transition to renewable",2050,"0%","0%","1.14e+02","Mt CO2 eq."
"Constant",2030,"0.5%","0%","1.19e+02","Mt CO2 eq."
"Transition to renewable",2030,"0.5%","0%","7.65e+01","Mt CO2 eq."
"Constant",2032,"0.5%","0%","1.20e+02","Mt CO2 eq."
"Transition to renewable",2032,"0.5%","0%","7.77e+01","Mt CO2 eq."
"Constant",2034,"0.5%","0%","1.22e+02","Mt CO2 eq."
"Transition to renewable",2034,"0.5%","0%","8.02e+01","Mt CO2 eq."
"Constant",2036,"0.5%","0%","1.23e+02","Mt CO2 eq."
"Transition to renewable",2036,"0.5%","0%","8.28e+01","Mt CO2 eq."
"Constant",2038,"0.5%","0%","1.25e+02","Mt CO2 eq."
