"Mode","Year","Value","Unit"
"Private car",2005,8917534.681,"thousand km"
"Private hire car",2005,319593.736,"thousand km"
"Taxi",2005,1799952,"thousand km"
"Motorcycle",2005,1900180.068,"thousand km"
"Public bus",2005,300308.55,"thousand km"
"School bus",2005,183873.006,"thousand km"
"Private bus",2005,268458.38,"thousand km"
"MRT",2005,15121.35,"thousand km"
"LRT",2005,2532.3,"thousand km"
"Private car",2006,9821670.2,"thousand km"
"Private hire car",2006,389717,"thousand km"
"Taxi",2006,1796737.8,"thousand km"
"Motorcycle",2006,1943769.7,"thousand km"
"Public bus",2006,304253.25,"thousand km"
"School bus",2006,194312,"thousand km"
"Private bus",2006,283687.2,"thousand km"
"MRT",2006,15048.3,"thousand km"
"LRT",2006,2715.8,"thousand km"
"Private car",2007,10524529.6,"thousand km"
"Private hire car",2007,459846.4,"thousand km"
"Taxi",2007,1911154.97142857,"thousand km"
"Motorcycle",2007,1980051.6,"thousand km"
"Public bus",2007,308344.05,"thousand km"
"School bus",2007,208119.6,"thousand km"
"Private bus",2007,300396.8,"thousand km"
"MRT",2007,15413.55,"thousand km"
"LRT",2007,2899.3,"thousand km"
"Private car",2008,10646963.5,"thousand km"
"Private hire car",2008,488205.4,"thousand km"
"Taxi",2008,1707491.57142857,"thousand km"
"Motorcycle",2008,1932330.4,"thousand km"
"Public bus",2008,301988.7,"thousand km"
"School bus",2008,212740,"thousand km"
"Private bus",2008,306176.9,"thousand km"
"MRT",2008,16509.3,"thousand km"
"LRT",2008,3229.6,"thousand km"
"Private car",2009,11105516.8,"thousand km"
"Private hire car",2009,500309.6,"thousand km"
"Taxi",2009,1615448.57142857,"thousand km"
"Motorcycle",2009,1931648.4,"thousand km"
"Public bus",2009,310243.35,"thousand km"
"School bus",2009,248044.2,"thousand km"
"Private bus",2009,315221.4,"thousand km"
"MRT",2009,18025,"thousand km"
"LRT",2009,3303,"thousand km"
"Private car",2010,11162020.9,"thousand km"
"Private hire car",2010,509855.4,"thousand km"
"Taxi",2010,1770231.08571429,"thousand km"
"Motorcycle",2010,1988307,"thousand km"
"Public bus",2010,306700.425,"thousand km"
"School bus",2010,271330.4,"thousand km"
"Private bus",2010,325068.8,"thousand km"
"MRT",2010,20265,"thousand km"
"LRT",2010,3311,"thousand km"
"Private car",2011,11254859,"thousand km"
"Private hire car",2011,528922,"thousand km"
"Taxi",2011,1869412.11428571,"thousand km"
"Motorcycle",2011,1952112,"thousand km"
"Public bus",2011,299030.175,"thousand km"
"School bus",2011,306600,"thousand km"
"Private bus",2011,338983.2,"thousand km"
"MRT",2011,22465,"thousand km"
"LRT",2011,3620,"thousand km"
"Private car",2012,11013711.8,"thousand km"
"Private hire car",2012,540976.8,"thousand km"
"Taxi",2012,1957719.12857143,"thousand km"
"Motorcycle",2012,1905703.8,"thousand km"
"Public bus",2012,298591.875,"thousand km"
"School bus",2012,354307.5,"thousand km"
"Private bus",2012,317230.6,"thousand km"
"MRT",2012,26492,"thousand km"
"LRT",2012,3883,"thousand km"
"Private car",2013,10809797.6,"thousand km"
"Private hire car",2013,583697.6,"thousand km"
"Taxi",2013,1977901.8,"thousand km"
"Motorcycle",2013,1861560.3,"thousand km"
"Public bus",2013,312873.15,"thousand km"
"School bus",2013,378050.8,"thousand km"
"Private bus",2013,286195,"thousand km"
"MRT",2013,26420,"thousand km"
"LRT",2013,4435,"thousand km"
"Private car",2014,10503080,"thousand km"
"Private hire car",2014,659645,"thousand km"
"Taxi",2014,2128885.71428571,"thousand km"
"Motorcycle",2014,1848371.2,"thousand km"
"Public bus",2014,329345.925,"thousand km"
"School bus",2014,395106.6,"thousand km"
"Private bus",2014,269497.6,"thousand km"
"MRT",2014,28173,"thousand km"
"LRT",2014,4787,"thousand km"
"Private car",2015,9953606.9,"thousand km"
"Private hire car",2015,1016167.4,"thousand km"
"Taxi",2015,2108014.28571429,"thousand km"
"Motorcycle",2015,1833971.2,"thousand km"
"Public bus",2015,331477.320142989,"thousand km"
"School bus",2015,416487.4,"thousand km"
"Private bus",2015,200305.8,"thousand km"
"MRT",2015,28795,"thousand km"
"LRT",2015,5937,"thousand km"
"Private car",2016,9225530.9,"thousand km"
"Private hire car",2016,1714622.4,"thousand km"
"Taxi",2016,1991134.28571429,"thousand km"
