"Fuel","Year","Value","Mode","Unit"
"Gasoline",2005,860634478.218218,"Private car","L or kWh"
"Diesel",2005,6571.53288,"Private car","L or kWh"
"CNG",2005,684230.57472,"Private car","L or kWh"
"Electricity",2005,4227.7356,"Private car","L or kWh"
"Gasoline",2006,913715424.138072,"Private car","L or kWh"
"Diesel",2006,7851.732,"Private car","L or kWh"
"CNG",2006,754363.824,"Private car","L or kWh"
"Electricity",2006,4329.72,"Private car","L or kWh"
"Gasoline",2007,974846630.510436,"Private car","L or kWh"
"Diesel",2007,4422.912,"Private car","L or kWh"
"CNG",2007,859941.888,"Private car","L or kWh"
"Electricity",2007,4268.16,"Private car","L or kWh"
"Gasoline",2008,1025079289.36605,"Private car","L or kWh"
"Diesel",2008,17803.284,"Private car","L or kWh"
"CNG",2008,8011123.2,"Private car","L or kWh"
"Electricity",2008,4042.44,"Private car","L or kWh"
"Gasoline",2009,1004160437.63128,"Private car","L or kWh"
"Diesel",2009,43761.312,"Private car","L or kWh"
"CNG",2009,8734293.12,"Private car","L or kWh"
"Electricity",2009,4021.92,"Private car","L or kWh"
"Gasoline",2010,928218267.637264,"Private car","L or kWh"
"Diesel",2010,137073.06,"Private car","L or kWh"
"CNG",2010,8598859.728,"Private car","L or kWh"
"Electricity",2010,7838.64,"Private car","L or kWh"
"Gasoline",2011,912680334.394038,"Private car","L or kWh"
"Diesel",2011,342403.56,"Private car","L or kWh"
"CNG",2011,8344581.12,"Private car","L or kWh"
"Electricity",2011,7797.6,"Private car","L or kWh"
"Gasoline",2012,909421706.298693,"Private car","L or kWh"
"Diesel",2012,645330.504,"Private car","L or kWh"
"CNG",2012,7287038.304,"Private car","L or kWh"
"Electricity",2012,11203.92,"Private car","L or kWh"
"Gasoline",2013,900110069.744754,"Private car","L or kWh"
"Diesel",2013,1305822.24,"Private car","L or kWh"
"CNG",2013,6644318.496,"Private car","L or kWh"
"Electricity",2013,0,"Private car","L or kWh"
"Gasoline",2014,881956875.090689,"Private car","L or kWh"
"Diesel",2014,2903466.3,"Private car","L or kWh"
"CNG",2014,6060868.8,"Private car","L or kWh"
"Electricity",2014,102595.032971621,"Private car","L or kWh"
"Gasoline",2015,875359525.374818,"Private car","L or kWh"
"Diesel",2015,5250384.612,"Private car","L or kWh"
"CNG",2015,5411201.952,"Private car","L or kWh"
"Electricity",2015,222699.384039914,"Private car","L or kWh"
"Gasoline",2016,803089998.67722,"Private car","L or kWh"
"Diesel",2016,8575945.656,"Private car","L or kWh"
"CNG",2016,4374635.808,"Private car","L or kWh"
"Electricity",2016,273890.575803723,"Private car","L or kWh"
"Gasoline",2017,754930057.957692,"Private car","L or kWh"
