"Sector","Phase","Process","Value","Unit","Mode","Technology"
"Energy","Fuel Production","Gasoline",0.0297629777111072,"kg CO2/pkt","Private car","ICEV-G"
"Transportation","Fuel Use","Gasoline",0.10571,"kg CO2/pkt","Private car","ICEV-G"
"Manufacturing","Vehicle production","Vehicle production, without battery",0.0215390476190476,"kg CO2/pkt","Private car","ICEV-G"
"Energy","Fuel Production","Diesel",0.0220682497789023,"kg CO2/pkt","Private car","ICEV-D"
"Transportation","Fuel Use","Diesel",0.0888582857142857,"kg CO2/pkt","Private car","ICEV-D"
"Manufacturing","Vehicle production","Vehicle production, without battery",0.0215390476190476,"kg CO2/pkt","Private car","ICEV-D"
"Manufacturing","Vehicle production","Battery production",0.00048,"kg CO2/pkt","Private car","HEV-G"
"Energy","Fuel Production","Gasoline",0.0165485647332138,"kg CO2/pkt","Private car","HEV-G"
"Transportation","Fuel Use","Gasoline",0.058776,"kg CO2/pkt","Private car","HEV-G"
"Manufacturing","Vehicle production","Vehicle production, without battery",0.0215390476190476,"kg CO2/pkt","Private car","HEV-G"
"Energy","Fuel Production","CNG",0.0402667013602257,"kg CO2/pkt","Private car","CNG"
"Transportation","Fuel Use","CNG",0.1287744,"kg CO2/pkt","Private car","CNG"
"Manufacturing","Vehicle production","Vehicle production, without battery",0.0215390476190476,"kg CO2/pkt","Private car","CNG"
"Manufacturing","Vehicle production","Battery production",0.00981333333333333,"kg CO2/pkt","Private car","PHEV"
"Energy","Fuel Production","Electricity",0.0331711826531357,"kg CO2/pkt","Private car","PHEV"
"Energy","Fuel Production","Gasoline",0.0123858812715086,"kg CO2/pkt","Private car","PHEV"
"Transportation","Fuel Use","Gasoline",0.043991280775732,"kg CO2/pkt","Private car","PHEV"
"Manufacturing","Vehicle production","Vehicle production, without battery",0.0215390476190476,"kg CO2/pkt","Private car","PHEV"
"Manufacturing","Vehicle production","Battery production",0.0213333333333333,"kg CO2/pkt","Private car","BEV"
"Energy","Fuel Production","Electricity",0.0553453714285714,"kg CO2/pkt","Private car","BEV"
"Manufacturing","Vehicle production","Vehicle production, without battery",0.0215390476190476,"kg CO2/pkt","Private car","BEV"
"Energy","Fuel Production","Gasoline",0.0148465762717282,"kg CO2/pkt","Motorcycle","ICEM-G"
"Transportation","Fuel Use","Gasoline",0.052731,"kg CO2/pkt","Motorcycle","ICEM-G"
"Manufacturing","Vehicle production","Motorcycle production, without battery",0.00261333333333333,"kg CO2/pkt","Motorcycle","ICEM-G"
"Manufacturing","Vehicle production","Battery production",0.00112,"kg CO2/pkt","Motorcycle","EM"
"Energy","Fuel Production","Electricity",0.013216,"kg CO2/pkt","Motorcycle","EM"
"Manufacturing","Vehicle production","Motorcycle production, without battery",0.00261333333333333,"kg CO2/pkt","Motorcycle","EM"
"Manufacturing","Vehicle production","Bus production, without battery",0.00347603003094752,"kg CO2/pkt","Public bus","ICEB-D"
"Energy","Fuel Production","Diesel",0.014314377094952,"kg CO2/pkt","Public bus","ICEB-D"
"Transportation","Fuel Use","Diesel",0.057637149410067,"kg CO2/pkt","Public bus","ICEB-D"
"Manufacturing","Vehicle production","Battery production",7.29009481554438e-05,"kg CO2/pkt","Public bus","HEB-D"
"Manufacturing","Vehicle production","Bus production, without battery",0.00347603003094752,"kg CO2/pkt","Public bus","HEB-D"
"Energy","Fuel Production","Diesel",0.0128386018714862,"kg CO2/pkt","Public bus","HEB-D"
"Transportation","Fuel Use","Diesel",0.0516949085087448,"kg CO2/pkt","Public bus","HEB-D"
"Manufacturing","Vehicle production","Bus production, without battery",0.00347603003094752,"kg CO2/pkt","Public bus","CNGB"
"Energy","Fuel Production","CNG",0.0167200464040614,"kg CO2/pkt","Public bus","CNGB"
"Transportation","Fuel Use","CNG",0.0534713267022648,"kg CO2/pkt","Public bus","CNGB"
"Manufacturing","Vehicle production","Battery production",0.00492081400049246,"kg CO2/pkt","Public bus","EB"
"Manufacturing","Vehicle production","Bus production, without battery",0.00347603003094752,"kg CO2/pkt","Public bus","EB"
"Energy","Fuel Production","Electricity",0.0432675805986863,"kg CO2/pkt","Public bus","EB"
