"Target","Method","Year","Value","Unit"
"Historical","Historical",2005,36.901353,"MT CO2"
"Historical","Historical",2006,37.171597,"MT CO2"
"Historical","Historical",2007,38.286019,"MT CO2"
"Historical","Historical",2008,38.426592,"MT CO2"
"Historical","Historical",2009,38.831762,"MT CO2"
"Historical","Historical",2010,42.413616,"MT CO2"
"Historical","Historical",2011,44.763911,"MT CO2"
"Historical","Historical",2012,43.692284,"MT CO2"
"Historical","Historical",2013,43.917804,"MT CO2"
"Historical","Historical",2014,44.459324,"MT CO2"
"Historical","Historical",2015,45.49601,"MT CO2"
"Historical","Historical",2016,46.065234,"MT CO2"
"Historical","Historical",2017,47.407144,"MT CO2"
"2C","Complete equality",2018,19.6923028140175,"MT CO2"
"1.5C","Complete equality",2018,19.4627057079419,"MT CO2"
"2C","Contraction & Convergence",2018,45.1052644776066,"MT CO2"
"1.5C","Contraction & Convergence",2018,44.5388223404099,"MT CO2"
"2C","Grandfathering",2018,46.0487639545028,"MT CO2"
"1.5C","Grandfathering",2018,45.4649409773641,"MT CO2"
"INDC","INDC",2018,48.5880985968584,"MT CO2"
"2C","Complete equality",2019,20.0673481506298,"MT CO2"
"1.5C","Complete equality",2019,19.8069544227682,"MT CO2"
"2C","Contraction & Convergence",2019,45.003090983361,"MT CO2"
"1.5C","Contraction & Convergence",2019,44.3842480647502,"MT CO2"
"2C","Grandfathering",2019,46.9261217788447,"MT CO2"
"1.5C","Grandfathering",2019,46.2693209295637,"MT CO2"
"INDC","INDC",2019,50.8522891362556,"MT CO2"
"2C","Complete equality",2020,20.442393487242,"MT CO2"
"1.5C","Complete equality",2020,20.1512031375944,"MT CO2"
"2C","Contraction & Convergence",2020,44.8648856474239,"MT CO2"
"1.5C","Contraction & Convergence",2020,44.1968381981852,"MT CO2"
"2C","Grandfathering",2020,47.8034796031866,"MT CO2"
"1.5C","Grandfathering",2020,47.0737008817633,"MT CO2"
"INDC","INDC",2020,53.0837351092296,"MT CO2"
"2C","Complete equality",2021,20.0713582962131,"MT CO2"
"1.5C","Complete equality",2021,19.3723642915785,"MT CO2"
"2C","Contraction & Convergence",2021,43.0864182493078,"MT CO2"
"1.5C","Contraction & Convergence",2021,41.5648799878734,"MT CO2"
"2C","Grandfathering",2021,46.9314066791429,"MT CO2"
"1.5C","Grandfathering",2021,45.2508842334173,"MT CO2"
"INDC","INDC",2021,53.6383368251172,"MT CO2"
"2C","Complete equality",2022,19.7003231051842,"MT CO2"
"1.5C","Complete equality",2022,18.5935254455626,"MT CO2"
"2C","Contraction & Convergence",2022,41.3445192734493,"MT CO2"
"1.5C","Contraction & Convergence",2022,39.0078281105083,"MT CO2"
"2C","Grandfathering",2022,46.0593337550992,"MT CO2"
"1.5C","Grandfathering",2022,43.4280675850713,"MT CO2"
"INDC","INDC",2022,54.1813987413191,"MT CO2"
"2C","Complete equality",2023,19.3292879141552,"MT CO2"
"1.5C","Complete equality",2023,17.8146865995467,"MT CO2"
"2C","Contraction & Convergence",2023,39.6391887198485,"MT CO2"
"1.5C","Contraction & Convergence",2023,36.52568256609,"MT CO2"
"2C","Grandfathering",2023,45.1872608310555,"MT CO2"
"1.5C","Grandfathering",2023,41.6052509367253,"MT CO2"
"INDC","INDC",2023,54.7129208578354,"MT CO2"
"2C","Complete equality",2024,18.9582527231263,"MT CO2"
"1.5C","Complete equality",2024,17.0358477535308,"MT CO2"
"2C","Contraction & Convergence",2024,37.9704265885051,"MT CO2"
"1.5C","Contraction & Convergence",2024,34.1184433546184,"MT CO2"
"2C","Grandfathering",2024,44.3151879070118,"MT CO2"
"1.5C","Grandfathering",2024,39.7824342883793,"MT CO2"
"INDC","INDC",2024,55.2329031746659,"MT CO2"
"2C","Complete equality",2025,18.5872175320974,"MT CO2"
"1.5C","Complete equality",2025,16.2570089075149,"MT CO2"
"2C","Contraction & Convergence",2025,36.3382328794194,"MT CO2"
