"Target","Scenario","Convergence_year","Model","Method","Value","Unit"
"2C","SSP1","2018","AIM/CGE","Complete equality",425.597786895567,"MT CO2"
"1.5C","SSP1","2018","AIM/CGE","Complete equality",285.113731768336,"MT CO2"
"2C","SSP2","2018","AIM/CGE","Complete equality",416.808338336101,"MT CO2"
"1.5C","SSP2","2018","AIM/CGE","Complete equality",296.439424406524,"MT CO2"
"2C","SSP4","2018","AIM/CGE","Complete equality",481.294773261358,"MT CO2"
"2C","SSP5","2018","AIM/CGE","Complete equality",448.079247972931,"MT CO2"
"2C","SSP1","2018","GCAM4","Complete equality",588.152686825435,"MT CO2"
"1.5C","SSP1","2018","GCAM4","Complete equality",448.374281253625,"MT CO2"
"2C","SSP2","2018","GCAM4","Complete equality",596.621348731524,"MT CO2"
"1.5C","SSP2","2018","GCAM4","Complete equality",439.665903695162,"MT CO2"
"2C","SSP4","2018","GCAM4","Complete equality",434.933618848806,"MT CO2"
"2C","SSP5","2018","GCAM4","Complete equality",636.225312905047,"MT CO2"
"1.5C","SSP5","2018","GCAM4","Complete equality",435.914741320706,"MT CO2"
"2C","SSP1","2018","IMAGE","Complete equality",523.409355178956,"MT CO2"
"1.5C","SSP1","2018","IMAGE","Complete equality",272.76112390217,"MT CO2"
"2C","SSP2","2018","IMAGE","Complete equality",399.279310042036,"MT CO2"
"2C","SSP4","2018","IMAGE","Complete equality",364.820291948041,"MT CO2"
"2C","SSP1","2018","MESSAGE-GLOBIOM","Complete equality",509.91459700559,"MT CO2"
"1.5C","SSP1","2018","MESSAGE-GLOBIOM","Complete equality",332.371069171121,"MT CO2"
"2C","SSP2","2018","MESSAGE-GLOBIOM","Complete equality",450.610388793362,"MT CO2"
"1.5C","SSP2","2018","MESSAGE-GLOBIOM","Complete equality",290.639556502352,"MT CO2"
"2C","SSP1","2018","REMIND-MAGPIE","Complete equality",487.321959352391,"MT CO2"
"1.5C","SSP1","2018","REMIND-MAGPIE","Complete equality",344.261688922167,"MT CO2"
"2C","SSP2","2018","REMIND-MAGPIE","Complete equality",500.764523536669,"MT CO2"
"1.5C","SSP2","2018","REMIND-MAGPIE","Complete equality",324.973540134974,"MT CO2"
"2C","SSP5","2018","REMIND-MAGPIE","Complete equality",611.291045531296,"MT CO2"
"1.5C","SSP5","2018","REMIND-MAGPIE","Complete equality",433.679673756542,"MT CO2"
"2C","SSP1","2018","WITCH-GLOBIOM","Complete equality",414.790275235017,"MT CO2"
