"Target","Scenario","Convergence_year","Model","Value","Unit"
"2C","SSP1","2040","AIM/CGE",680.584981849312,"MT CO2"
"1.5C","SSP1","2040","AIM/CGE",496.210456587904,"MT CO2"
"2C","SSP2","2040","AIM/CGE",677.769919257276,"MT CO2"
"1.5C","SSP2","2040","AIM/CGE",523.578157718005,"MT CO2"
"2C","SSP4","2040","AIM/CGE",763.080327077253,"MT CO2"
"2C","SSP5","2040","AIM/CGE",726.7743039186,"MT CO2"
"2C","SSP1","2050","AIM/CGE",764.398296005204,"MT CO2"
"1.5C","SSP1","2050","AIM/CGE",545.279124956341,"MT CO2"
"2C","SSP2","2050","AIM/CGE",757.28491485628,"MT CO2"
"1.5C","SSP2","2050","AIM/CGE",573.09246194103,"MT CO2"
"2C","SSP4","2050","AIM/CGE",857.265657341119,"MT CO2"
"2C","SSP5","2050","AIM/CGE",815.499783590134,"MT CO2"
"2C","SSP1","2040","GCAM4",874.200511020038,"MT CO2"
"1.5C","SSP1","2040","GCAM4",713.033286215235,"MT CO2"
"2C","SSP2","2040","GCAM4",931.30099689193,"MT CO2"
"1.5C","SSP2","2040","GCAM4",724.864595755885,"MT CO2"
"2C","SSP4","2040","GCAM4",682.417843662802,"MT CO2"
"2C","SSP5","2040","GCAM4",1014.84980127216,"MT CO2"
"1.5C","SSP5","2040","GCAM4",729.549057090542,"MT CO2"
"2C","SSP1","2050","GCAM4",1000.36452652776,"MT CO2"
"1.5C","SSP1","2050","GCAM4",803.844735670089,"MT CO2"
"2C","SSP2","2050","GCAM4",1056.81872547863,"MT CO2"
"1.5C","SSP2","2050","GCAM4",810.121962504664,"MT CO2"
"2C","SSP4","2050","GCAM4",766.371136858401,"MT CO2"
"2C","SSP5","2050","GCAM4",1150.11148936101,"MT CO2"
"1.5C","SSP5","2050","GCAM4",812.724181065923,"MT CO2"
"2C","SSP1","2040","IMAGE",815.926000187327,"MT CO2"
"1.5C","SSP1","2040","IMAGE",477.823794367424,"MT CO2"
"2C","SSP2","2040","IMAGE",657.764505907681,"MT CO2"
"2C","SSP4","2040","IMAGE",601.706502109345,"MT CO2"
"2C","SSP1","2050","IMAGE",924.034120776027,"MT CO2"
"1.5C","SSP1","2050","IMAGE",525.423455960112,"MT CO2"
"2C","SSP2","2050","IMAGE",733.812990068263,"MT CO2"
"2C","SSP4","2050","IMAGE",671.269941145846,"MT CO2"
"2C","SSP1","2040","MESSAGE-GLOBIOM",776.822292111591,"MT CO2"
"1.5C","SSP1","2040","MESSAGE-GLOBIOM",550.328264895582,"MT CO2"
"2C","SSP2","2040","MESSAGE-GLOBIOM",703.350647533594,"MT CO2"
"1.5C","SSP2","2040","MESSAGE-GLOBIOM",503.180393123729,"MT CO2"
"2C","SSP1","2050","MESSAGE-GLOBIOM",884.090848480362,"MT CO2"
"1.5C","SSP1","2050","MESSAGE-GLOBIOM",613.965229627077,"MT CO2"
"2C","SSP2","2050","MESSAGE-GLOBIOM",794.279099872299,"MT CO2"
"1.5C","SSP2","2050","MESSAGE-GLOBIOM",553.751843828451,"MT CO2"
"2C","SSP1","2040","REMIND-MAGPIE",748.18902726039,"MT CO2"
"1.5C","SSP1","2040","REMIND-MAGPIE",580.490931812563,"MT CO2"
"2C","SSP2","2040","REMIND-MAGPIE",790.030390196575,"MT CO2"
"1.5C","SSP2","2040","REMIND-MAGPIE",582.5312575894,"MT CO2"
"2C","SSP5","2040","REMIND-MAGPIE",943.788546990416,"MT CO2"
"1.5C","SSP5","2040","REMIND-MAGPIE",726.509333665983,"MT CO2"
"2C","SSP1","2050","REMIND-MAGPIE",848.919973688328,"MT CO2"
"1.5C","SSP1","2050","REMIND-MAGPIE",645.75171524368,"MT CO2"
"2C","SSP2","2050","REMIND-MAGPIE",889.935238522224,"MT CO2"
"1.5C","SSP2","2050","REMIND-MAGPIE",640.07836229758,"MT CO2"
"2C","SSP5","2050","REMIND-MAGPIE",1074.78523828431,"MT CO2"
"1.5C","SSP5","2050","REMIND-MAGPIE",813.104190099472,"MT CO2"
"2C","SSP1","2040","WITCH-GLOBIOM",685.056599336839,"MT CO2"
"1.5C","SSP1","2040","WITCH-GLOBIOM",516.592948771178,"MT CO2"
"2C","SSP2","2040","WITCH-GLOBIOM",594.63530665623,"MT CO2"
"2C","SSP4","2040","WITCH-GLOBIOM",734.861746348006,"MT CO2"
"1.5C","SSP4","2040","WITCH-GLOBIOM",551.881759804514,"MT CO2"
"2C","SSP1","2050","WITCH-GLOBIOM",758.323780378344,"MT CO2"
"1.5C","SSP1","2050","WITCH-GLOBIOM",563.767040560094,"MT CO2"
"2C","SSP2","2050","WITCH-GLOBIOM",660.617713883201,"MT CO2"
"2C","SSP4","2050","WITCH-GLOBIOM",814.747604673277,"MT CO2"
"1.5C","SSP4","2050","WITCH-GLOBIOM",604.395348483028,"MT CO2"
