"Year","Unit","Value","Transport_intensity"
2005,"thousand passenger",37673450.02755,8.83173027865578
2006,"thousand passenger",39941396.125,9.07279794149636
2007,"thousand passenger",42469605.12,9.27561615496691
2008,"thousand passenger",43440072.97,9.0958545189193
2009,"thousand passenger",44328667.355,8.92532968235502
2010,"thousand passenger",45814560.37,8.92867715745142
2011,"thousand passenger",47214115.675,8.96986033904294
2012,"thousand passenger",47478981.965,8.84239800341524
2013,"thousand passenger",47255923.23,8.66487814766109
2014,"thousand passenger",47352904.525,8.56968737761572
2015,"thousand passenger",47491814.7901869,8.49259662891076
2016,"thousand passenger",48506444.991233,8.57970682371629
2017,"thousand passenger",49287506.8097576,8.63474844960104
2018,"thousand passenger",50486210.681604,8.76876845424206
2019,"thousand passenger",51071374.956604,8.79882097880915
2020,"thousand passenger",51476120.7216292,8.79882097880915
2021,"thousand passenger",51883866.8846082,8.79882097880915
2022,"thousand passenger",52296241.2274221,8.79882097880915
2023,"thousand passenger",52707506.9187926,8.79882097880915
2024,"thousand passenger",53106823.8112739,8.79882097880915
2025,"thousand passenger",53485921.0131459,8.79882097880915
2026,"thousand passenger",53845141.6784268,8.79882097880915
2027,"thousand passenger",54187829.3590884,8.79882097880915
2028,"thousand passenger",54512593.8414163,8.79882097880915
2029,"thousand passenger",54817816.1423502,8.79882097880915
2030,"thousand passenger",55102308.421058,8.79882097880915
2031,"thousand passenger",55365375.5706825,8.79882097880915
2032,"thousand passenger",55606516.0584277,8.79882097880915
2033,"thousand passenger",55825228.351498,8.79882097880915
2034,"thousand passenger",56020931.7277086,8.79882097880915
2035,"thousand passenger",56193265.4353996,8.79882097880915
2036,"thousand passenger",56342317.4627806,8.79882097880915
2037,"thousand passenger",56468149.4015986,8.79882097880915
2038,"thousand passenger",56571236.3881863,8.79882097880915
2039,"thousand passenger",56652502.2987466,8.79882097880915
2040,"thousand passenger",56712703.8318836,8.79882097880915
2041,"thousand passenger",56752421.709782,8.79882097880915
2042,"thousand passenger",56772368.6369409,8.79882097880915
2043,"thousand passenger",56773802.8447604,8.79882097880915
2044,"thousand passenger",56758369.7127636,8.79882097880915
2045,"thousand passenger",56727538.6440539,8.79882097880915
2046,"thousand passenger",56682224.716013,8.79882097880915
2047,"thousand passenger",56623202.2248872,8.79882097880915
2048,"thousand passenger",56552230.9348721,8.79882097880915
2049,"thousand passenger",56470225.9233496,8.79882097880915
2050,"thousand passenger",56378691.788707,8.79882097880915
