"Mode","Year","Value","Unit","Scenario"
"Private car",2019,16949559.375,"thousand passenger","PT_Constant"
"Private hire car",2019,2159948,"thousand passenger","PT_Constant"
"Taxi",2019,2173237.5,"thousand passenger","PT_Constant"
"Motorcycle",2019,1825174,"thousand passenger","PT_Constant"
"Public bus",2019,6340411.275,"thousand passenger","PT_Constant"
"School bus",2019,4022323.2,"thousand passenger","PT_Constant"
"Private bus",2019,2254345.5,"thousand passenger","PT_Constant"
"MRT",2019,15199320.2701967,"thousand passenger","PT_Constant"
"LRT",2019,147055.836407296,"thousand passenger","PT_Constant"
"Private car",2020,16577502.8419606,"thousand passenger","PT_Constant"
"Private hire car",2020,2112535.39494958,"thousand passenger","PT_Constant"
"Taxi",2020,2125533.17967921,"thousand passenger","PT_Constant"
"Motorcycle",2020,1785109.95493489,"thousand passenger","PT_Constant"
"Public bus",2020,6437141.51781885,"thousand passenger","PT_Constant"
"School bus",2020,3934029.95346503,"thousand passenger","PT_Constant"
"Private bus",2020,2204860.79349842,"thousand passenger","PT_Constant"
"MRT",2020,16137026.1980001,"thousand passenger","PT_Constant"
"LRT",2020,162380.887322621,"thousand passenger","PT_Constant"
"Private car",2021,16198419.8782719,"thousand passenger","PT_Constant"
"Private hire car",2021,2064227.38462685,"thousand passenger","PT_Constant"
"Taxi",2021,2076927.94493108,"thousand passenger","PT_Constant"
"Motorcycle",2021,1744289.28497766,"thousand passenger","PT_Constant"
"Public bus",2021,6534980.62649137,"thousand passenger","PT_Constant"
"School bus",2021,3844069.25502831,"thousand passenger","PT_Constant"
"Private bus",2021,2154441.54929207,"thousand passenger","PT_Constant"
"MRT",2021,17088572.0645757,"thousand passenger","PT_Constant"
"LRT",2021,177938.896413306,"thousand passenger","PT_Constant"
"Private car",2022,15812714.1262205,"thousand passenger","PT_Constant"
"Private hire car",2022,2015075.40673172,"thousand passenger","PT_Constant"
"Taxi",2022,2027473.54993599,"thousand passenger","PT_Constant"
"Motorcycle",2022,1702755.45541197,"thousand passenger","PT_Constant"
"Public bus",2022,6634143.22439864,"thousand passenger","PT_Constant"
"School bus",2022,3752536.89359487,"thousand passenger","PT_Constant"
"Private bus",2022,2103141.45309347,"thousand passenger","PT_Constant"
"MRT",2022,18054662.7480488,"thousand passenger","PT_Constant"
"LRT",2022,193738.36998624,"thousand passenger","PT_Constant"
"Private car",2023,15418570.8000929,"thousand passenger","PT_Constant"
"Private hire car",2023,1964848.19609177,"thousand passenger","PT_Constant"
"Taxi",2023,1976937.30661756,"thousand passenger","PT_Constant"
"Motorcycle",2023,1660313.04524627,"thousand passenger","PT_Constant"
"Public bus",2023,6733908.91165843,"thousand passenger","PT_Constant"
"School bus",2023,3659002.19987614,"thousand passenger","PT_Constant"
"Private bus",2023,2050719.13260995,"thousand passenger","PT_Constant"
"MRT",2023,19033447.0302083,"thousand passenger","PT_Constant"
"LRT",2023,209760.29639127,"thousand passenger","PT_Constant"
"Private car",2024,15012958.1780391,"thousand passenger","PT_Constant"
"Private hire car",2024,1913159.40864918,"thousand passenger","PT_Constant"
"Taxi",2024,1924930.49386106,"thousand passenger","PT_Constant"
"Motorcycle",2024,1616635.59054285,"thousand passenger","PT_Constant"
"Public bus",2024,6832879.9597896,"thousand passenger","PT_Constant"
"School bus",2024,3562745.71179855,"thousand passenger","PT_Constant"
"Private bus",2024,1996771.35915815,"thousand passenger","PT_Constant"
"MRT",2024,20020785.4710816,"thousand passenger","PT_Constant"
"LRT",2024,225957.638353852,"thousand passenger","PT_Constant"
"Private car",2025,14593972.1248771,"thousand passenger","PT_Constant"
"Private hire car",2025,1859766.39308266,"thousand passenger","PT_Constant"
"Taxi",2025,1871208.96738578,"thousand passenger","PT_Constant"
"Motorcycle",2025,1571518.04891981,"thousand passenger","PT_Constant"
"Public bus",2025,6929952.37458854,"thousand passenger","PT_Constant"
"School bus",2025,3463315.55642854,"thousand passenger","PT_Constant"
"Private bus",2025,1941044.87668089,"thousand passenger","PT_Constant"
"MRT",2025,21012859.6015129,"thousand passenger","PT_Constant"
"LRT",2025,242283.069669639,"thousand passenger","PT_Constant"
"Private car",2026,14162299.6151406,"thousand passenger","PT_Constant"
"Private hire car",2026,1804756.6932178,"thousand passenger","PT_Constant"
"Taxi",2026,1815860.80964769,"thousand passenger","PT_Constant"
"Motorcycle",2026,1525034.39563689,"thousand passenger","PT_Constant"
"Public bus",2026,7025116.15312232,"thousand passenger","PT_Constant"
"School bus",2026,3360874.76063555,"thousand passenger","PT_Constant"
"Private bus",2026,1883631.05498393,"thousand passenger","PT_Constant"
"MRT",2026,22008846.6424637,"thousand passenger","PT_Constant"
"LRT",2026,258721.553578263,"thousand passenger","PT_Constant"
"Private car",2027,13719373.7668377,"thousand passenger","PT_Constant"
"Private hire car",2027,1748312.93683311,"thousand passenger","PT_Constant"
"Taxi",2027,1759069.77207824,"thousand passenger","PT_Constant"
