"Mode","Year","Value","Unit","Scenario"
"Private car",2019,9685462.5,"thousand km","PT_Constant"
"Private hire car",2019,2699935,"thousand km","PT_Constant"
"Taxi",2019,1241850,"thousand km","PT_Constant"
"Motorcycle",2019,1825174,"thousand km","PT_Constant"
"Public bus",2019,343915.173841493,"thousand km","PT_Constant"
"School bus",2019,446924.8,"thousand km","PT_Constant"
"Private bus",2019,150289.7,"thousand km","PT_Constant"
"MRT",2019,40700,"thousand km","PT_Constant"
"LRT",2019,7302,"thousand km","PT_Constant"
"Private car",2020,9472858.76683461,"thousand km","PT_Constant"
"Private hire car",2020,2640669.24368698,"thousand km","PT_Constant"
"Taxi",2020,1214590.38838812,"thousand km","PT_Constant"
"Motorcycle",2020,1785109.95493489,"thousand km","PT_Constant"
"Public bus",2020,349161.994092088,"thousand km","PT_Constant"
"School bus",2020,437114.439273892,"thousand km","PT_Constant"
"Private bus",2020,146990.719566561,"thousand km","PT_Constant"
"MRT",2020,43210.9432910911,"thousand km","PT_Constant"
"LRT",2020,8062.95940506414,"thousand km","PT_Constant"
"Private car",2021,9256239.93044111,"thousand km","PT_Constant"
"Private hire car",2021,2580284.23078356,"thousand km","PT_Constant"
"Taxi",2021,1186815.96853204,"thousand km","PT_Constant"
"Motorcycle",2021,1744289.28497766,"thousand km","PT_Constant"
"Public bus",2021,354468.961196932,"thousand km","PT_Constant"
"School bus",2021,427118.806114257,"thousand km","PT_Constant"
"Private bus",2021,143629.436619471,"thousand km","PT_Constant"
"MRT",2021,45758.9464965743,"thousand km","PT_Constant"
"LRT",2021,8835.48625714727,"thousand km","PT_Constant"
"Private car",2022,9035836.64355455,"thousand km","PT_Constant"
"Private hire car",2022,2518844.25841465,"thousand km","PT_Constant"
"Taxi",2022,1158556.31424913,"thousand km","PT_Constant"
"Motorcycle",2022,1702755.45541197,"thousand km","PT_Constant"
"Public bus",2022,359847.716709579,"thousand km","PT_Constant"
"School bus",2022,416948.543732763,"thousand km","PT_Constant"
"Private bus",2022,140209.430206231,"thousand km","PT_Constant"
"MRT",2022,48345.8971047837,"thousand km","PT_Constant"
"LRT",2022,9620.00293358869,"thousand km","PT_Constant"
"Private car",2023,8810611.88576737,"thousand km","PT_Constant"
"Private hire car",2023,2456060.24511471,"thousand km","PT_Constant"
"Taxi",2023,1129678.46092432,"thousand km","PT_Constant"
"Motorcycle",2023,1660313.04524627,"thousand km","PT_Constant"
"Public bus",2023,365259.184860336,"thousand km","PT_Constant"
"School bus",2023,406555.799986238,"thousand km","PT_Constant"
"Private bus",2023,136714.608840663,"thousand km","PT_Constant"
"MRT",2023,50966.838013701,"thousand km","PT_Constant"
"LRT",2023,10415.5654183411,"thousand km","PT_Constant"
"Private car",2024,8578833.24459375,"thousand km","PT_Constant"
"Private hire car",2024,2391449.26081147,"thousand km","PT_Constant"
"Taxi",2024,1099960.28220632,"thousand km","PT_Constant"
"Motorcycle",2024,1616635.59054285,"thousand km","PT_Constant"
"Public bus",2024,370627.550372763,"thousand km","PT_Constant"
"School bus",2024,395860.634644284,"thousand km","PT_Constant"
"Private bus",2024,133118.090610543,"thousand km","PT_Constant"
"MRT",2024,53610.6848324523,"thousand km","PT_Constant"
"LRT",2024,11219.8380939471,"thousand km","PT_Constant"
"Private car",2025,8339412.64278694,"thousand km","PT_Constant"
"Private hire car",2025,2324707.99135333,"thousand km","PT_Constant"
"Taxi",2025,1069262.26707759,"thousand km","PT_Constant"
"Motorcycle",2025,1571518.04891981,"thousand km","PT_Constant"
"Public bus",2025,375892.930639564,"thousand km","PT_Constant"
"School bus",2025,384812.839603171,"thousand km","PT_Constant"
"Private bus",2025,129402.991778726,"thousand km","PT_Constant"
"MRT",2025,56267.2126501948,"thousand km","PT_Constant"
"LRT",2025,12030.470996253,"thousand km","PT_Constant"
"Private car",2026,8092742.63722321,"thousand km","PT_Constant"
"Private hire car",2026,2255945.86652225,"thousand km","PT_Constant"
"Taxi",2026,1037634.74837011,"thousand km","PT_Constant"
"Motorcycle",2026,1525034.39563689,"thousand km","PT_Constant"
"Public bus",2026,381054.783083885,"thousand km","PT_Constant"
"School bus",2026,373430.528959505,"thousand km","PT_Constant"
