"Technology","Year","Value","Mode","Scenario"
"ICEV/B-G",2020,510643,"Private car","Private Car ubiquity"
"ICEV/B-D",2020,16160,"Private car","Private Car ubiquity"
"HEV/B-G",2020,39705,"Private car","Private Car ubiquity"
"CNGV/B",2020,196,"Private car","Private Car ubiquity"
"PHEV",2020,501,"Private car","Private Car ubiquity"
"EV/B",2020,1561,"Private car","Private Car ubiquity"
"ICEV/B-G",2021,510967,"Private car","Private Car ubiquity"
"ICEV/B-D",2021,16162,"Private car","Private Car ubiquity"
"HEV/B-G",2021,46834,"Private car","Private Car ubiquity"
"CNGV/B",2021,153,"Private car","Private Car ubiquity"
"PHEV",2021,579,"Private car","Private Car ubiquity"
"EV/B",2021,9588,"Private car","Private Car ubiquity"
"ICEV/B-G",2022,506233,"Private car","Private Car ubiquity"
"ICEV/B-D",2022,15935,"Private car","Private Car ubiquity"
"HEV/B-G",2022,52080,"Private car","Private Car ubiquity"
"CNGV/B",2022,112,"Private car","Private Car ubiquity"
"PHEV",2022,640,"Private car","Private Car ubiquity"
"EV/B",2022,25025,"Private car","Private Car ubiquity"
"ICEV/B-G",2023,497322,"Private car","Private Car ubiquity"
"ICEV/B-D",2023,15529,"Private car","Private Car ubiquity"
"HEV/B-G",2023,55777,"Private car","Private Car ubiquity"
"CNGV/B",2023,57,"Private car","Private Car ubiquity"
"PHEV",2023,675,"Private car","Private Car ubiquity"
"EV/B",2023,46571,"Private car","Private Car ubiquity"
"ICEV/B-G",2024,484392,"Private car","Private Car ubiquity"
"ICEV/B-D",2024,14785,"Private car","Private Car ubiquity"
"HEV/B-G",2024,58019,"Private car","Private Car ubiquity"
"CNGV/B",2024,43,"Private car","Private Car ubiquity"
"PHEV",2024,680,"Private car","Private Car ubiquity"
"EV/B",2024,73949,"Private car","Private Car ubiquity"
"ICEV/B-G",2025,466023,"Private car","Private Car ubiquity"
"ICEV/B-D",2025,13713,"Private car","Private Car ubiquity"
"HEV/B-G",2025,59176,"Private car","Private Car ubiquity"
"CNGV/B",2025,38,"Private car","Private Car ubiquity"
"PHEV",2025,674,"Private car","Private Car ubiquity"
"EV/B",2025,108104,"Private car","Private Car ubiquity"
"ICEV/B-G",2026,440340,"Private car","Private Car ubiquity"
"ICEV/B-D",2026,12140,"Private car","Private Car ubiquity"
"HEV/B-G",2026,58624,"Private car","Private Car ubiquity"
"CNGV/B",2026,35,"Private car","Private Car ubiquity"
"PHEV",2026,678,"Private car","Private Car ubiquity"
"EV/B",2026,151690,"Private car","Private Car ubiquity"
"ICEV/B-G",2027,408021,"Private car","Private Car ubiquity"
"ICEV/B-D",2027,10325,"Private car","Private Car ubiquity"
"HEV/B-G",2027,55263,"Private car","Private Car ubiquity"
"CNGV/B",2027,32,"Private car","Private Car ubiquity"
"PHEV",2027,649,"Private car","Private Car ubiquity"
"EV/B",2027,204942,"Private car","Private Car ubiquity"
"ICEV/B-G",2028,369087,"Private car","Private Car ubiquity"
"ICEV/B-D",2028,9159,"Private car","Private Car ubiquity"
"HEV/B-G",2028,52076,"Private car","Private Car ubiquity"
"CNGV/B",2028,28,"Private car","Private Car ubiquity"
"PHEV",2028,582,"Private car","Private Car ubiquity"
"EV/B",2028,263939,"Private car","Private Car ubiquity"
"ICEV/B-G",2029,327881,"Private car","Private Car ubiquity"
"ICEV/B-D",2029,8046,"Private car","Private Car ubiquity"
"HEV/B-G",2029,47319,"Private car","Private Car ubiquity"
"CNGV/B",2029,4,"Private car","Private Car ubiquity"
"PHEV",2029,527,"Private car","Private Car ubiquity"
"EV/B",2029,326618,"Private car","Private Car ubiquity"
"ICEV/B-G",2030,276732,"Private car","Private Car ubiquity"
"ICEV/B-D",2030,6678,"Private car","Private Car ubiquity"
"HEV/B-G",2030,40834,"Private car","Private Car ubiquity"
"CNGV/B",2030,0,"Private car","Private Car ubiquity"
"PHEV",2030,452,"Private car","Private Car ubiquity"
"EV/B",2030,401080,"Private car","Private Car ubiquity"
"ICEV/B-G",2031,230978,"Private car","Private Car ubiquity"
"ICEV/B-D",2031,5412,"Private car","Private Car ubiquity"
"HEV/B-G",2031,34571,"Private car","Private Car ubiquity"
"CNGV/B",2031,0,"Private car","Private Car ubiquity"
"PHEV",2031,386,"Private car","Private Car ubiquity"
"EV/B",2031,457894,"Private car","Private Car ubiquity"
"ICEV/B-G",2032,190581,"Private car","Private Car ubiquity"
"ICEV/B-D",2032,4339,"Private car","Private Car ubiquity"
"HEV/B-G",2032,28623,"Private car","Private Car ubiquity"
"CNGV/B",2032,0,"Private car","Private Car ubiquity"
"PHEV",2032,323,"Private car","Private Car ubiquity"
"EV/B",2032,508551,"Private car","Private Car ubiquity"
"ICEV/B-G",2033,155405,"Private car","Private Car ubiquity"
"ICEV/B-D",2033,3555,"Private car","Private Car ubiquity"
"HEV/B-G",2033,23532,"Private car","Private Car ubiquity"
"CNGV/B",2033,0,"Private car","Private Car ubiquity"
"PHEV",2033,263,"Private car","Private Car ubiquity"
"EV/B",2033,552543,"Private car","Private Car ubiquity"
"ICEV/B-G",2034,125993,"Private car","Private Car ubiquity"
"ICEV/B-D",2034,2915,"Private car","Private Car ubiquity"
"HEV/B-G",2034,19077,"Private car","Private Car ubiquity"
"CNGV/B",2034,0,"Private car","Private Car ubiquity"
"PHEV",2034,215,"Private car","Private Car ubiquity"
"EV/B",2034,589676,"Private car","Private Car ubiquity"
"ICEV/B-G",2035,100012,"Private car","Private Car ubiquity"
"ICEV/B-D",2035,2322,"Private car","Private Car ubiquity"
"HEV/B-G",2035,15164,"Private car","Private Car ubiquity"
"CNGV/B",2035,0,"Private car","Private Car ubiquity"
"PHEV",2035,168,"Private car","Private Car ubiquity"
"EV/B",2035,622480,"Private car","Private Car ubiquity"
"ICEV/B-G",2036,77064,"Private car","Private Car ubiquity"
