"Sector","Phase","Process","Year","Value","Unit","Mode"
"Manufacturing","Vehicle production","Vehicle production, without battery",2005,610637654,"kg CO2 eq","Private car"
"Manufacturing","Vehicle production","Battery production",2005,49322,"kg CO2 eq","Private car"
"Energy","Fuel Production","Gasoline",2005,525822033.866083,"kg CO2 eq","Private car"
"Energy","Fuel Production","Electricity",2005,1995.4912032,"kg CO2 eq","Private car"
"Energy","Fuel Production","Diesel",2005,4324.96422623877,"kg CO2 eq","Private car"
"Energy","Fuel Production","CNG",2005,284557.892906782,"kg CO2 eq","Private car"
"Transportation","Fuel Use","Gasoline",2005,1867576817.73353,"kg CO2 eq","Private car"
"Transportation","Fuel Use","Electricity",2005,0,"kg CO2 eq","Private car"
"Transportation","Fuel Use","Diesel",2005,17414.562132,"kg CO2 eq","Private car"
"Transportation","Fuel Use","CNG",2005,910026.6643776,"kg CO2 eq","Private car"
"Manufacturing","Vehicle production","Vehicle production, without battery",2006,663887026,"kg CO2 eq","Private car"
"Manufacturing","Vehicle production","Battery production",2006,3402,"kg CO2 eq","Private car"
"Energy","Fuel Production","Gasoline",2006,558252910.910305,"kg CO2 eq","Private car"
"Energy","Fuel Production","Electricity",2006,2043.62784,"kg CO2 eq","Private car"
"Energy","Fuel Production","Diesel",2006,5167.50971715661,"kg CO2 eq","Private car"
"Energy","Fuel Production","CNG",2006,313724.916970256,"kg CO2 eq","Private car"
"Transportation","Fuel Use","Gasoline",2006,1982762470.37962,"kg CO2 eq","Private car"
"Transportation","Fuel Use","Electricity",2006,0,"kg CO2 eq","Private car"
"Transportation","Fuel Use","Diesel",2006,20807.0898,"kg CO2 eq","Private car"
"Transportation","Fuel Use","CNG",2006,1003303.88592,"kg CO2 eq","Private car"
"Manufacturing","Vehicle production","Vehicle production, without battery",2007,586551614,"kg CO2 eq","Private car"
"Manufacturing","Vehicle production","Battery production",2007,83916,"kg CO2 eq","Private car"
"Energy","Fuel Production","Gasoline",2007,595602257.329649,"kg CO2 eq","Private car"
"Energy","Fuel Production","Electricity",2007,2014.57152,"kg CO2 eq","Private car"
"Energy","Fuel Production","Diesel",2007,2910.87886572397,"kg CO2 eq","Private car"
"Energy","Fuel Production","CNG",2007,357632.734800981,"kg CO2 eq","Private car"
"Transportation","Fuel Use","Gasoline",2007,2115417188.20765,"kg CO2 eq","Private car"
"Transportation","Fuel Use","Electricity",2007,0,"kg CO2 eq","Private car"
