"Scenario","Electrification target year","PT modal share change","Value","Unit"
"Constant",2030,"0%","1.62e+02","Mt CO2 eq."
"Transition to renewable",2030,"0%","1.41e+02","Mt CO2 eq."
"Constant",2032,"0%","1.63e+02","Mt CO2 eq."
"Transition to renewable",2032,"0%","1.42e+02","Mt CO2 eq."
"Constant",2034,"0%","1.63e+02","Mt CO2 eq."
"Transition to renewable",2034,"0%","1.42e+02","Mt CO2 eq."
"Constant",2036,"0%","1.63e+02","Mt CO2 eq."
"Transition to renewable",2036,"0%","1.43e+02","Mt CO2 eq."
"Constant",2038,"0%","1.64e+02","Mt CO2 eq."
"Transition to renewable",2038,"0%","1.45e+02","Mt CO2 eq."
"Constant",2040,"0%","1.64e+02","Mt CO2 eq."
"Transition to renewable",2040,"0%","1.46e+02","Mt CO2 eq."
"Constant",2042,"0%","1.65e+02","Mt CO2 eq."
"Transition to renewable",2042,"0%","1.47e+02","Mt CO2 eq."
"Constant",2044,"0%","1.65e+02","Mt CO2 eq."
"Transition to renewable",2044,"0%","1.48e+02","Mt CO2 eq."
"Constant",2046,"0%","1.66e+02","Mt CO2 eq."
"Transition to renewable",2046,"0%","1.50e+02","Mt CO2 eq."
"Constant",2048,"0%","1.67e+02","Mt CO2 eq."
"Transition to renewable",2048,"0%","1.51e+02","Mt CO2 eq."
"Constant",2050,"0%","1.67e+02","Mt CO2 eq."
"Transition to renewable",2050,"0%","1.52e+02","Mt CO2 eq."
"Constant",2030,"0.5%","1.47e+02","Mt CO2 eq."
"Transition to renewable",2030,"0.5%","1.26e+02","Mt CO2 eq."
"Constant",2032,"0.5%","1.47e+02","Mt CO2 eq."
"Transition to renewable",2032,"0.5%","1.26e+02","Mt CO2 eq."
"Constant",2034,"0.5%","1.47e+02","Mt CO2 eq."
"Transition to renewable",2034,"0.5%","1.27e+02","Mt CO2 eq."
"Constant",2036,"0.5%","1.48e+02","Mt CO2 eq."
"Transition to renewable",2036,"0.5%","1.28e+02","Mt CO2 eq."
"Constant",2038,"0.5%","1.48e+02","Mt CO2 eq."
"Transition to renewable",2038,"0.5%","1.29e+02","Mt CO2 eq."
"Constant",2040,"0.5%","1.49e+02","Mt CO2 eq."
"Transition to renewable",2040,"0.5%","1.30e+02","Mt CO2 eq."
"Constant",2042,"0.5%","1.49e+02","Mt CO2 eq."
"Transition to renewable",2042,"0.5%","1.31e+02","Mt CO2 eq."
"Constant",2044,"0.5%","1.50e+02","Mt CO2 eq."
"Transition to renewable",2044,"0.5%","1.33e+02","Mt CO2 eq."
"Constant",2046,"0.5%","1.50e+02","Mt CO2 eq."
"Transition to renewable",2046,"0.5%","1.34e+02","Mt CO2 eq."
"Constant",2048,"0.5%","1.51e+02","Mt CO2 eq."
"Transition to renewable",2048,"0.5%","1.35e+02","Mt CO2 eq."
"Constant",2050,"0.5%","1.51e+02","Mt CO2 eq."
"Transition to renewable",2050,"0.5%","1.37e+02","Mt CO2 eq."
"Constant",2030,"1%","1.31e+02","Mt CO2 eq."
"Transition to renewable",2030,"1%","1.10e+02","Mt CO2 eq."
"Constant",2032,"1%","1.31e+02","Mt CO2 eq."
"Transition to renewable",2032,"1%","1.11e+02","Mt CO2 eq."
"Constant",2034,"1%","1.31e+02","Mt CO2 eq."
"Transition to renewable",2034,"1%","1.12e+02","Mt CO2 eq."
"Constant",2036,"1%","1.32e+02","Mt CO2 eq."
"Transition to renewable",2036,"1%","1.12e+02","Mt CO2 eq."
"Constant",2038,"1%","1.32e+02","Mt CO2 eq."
"Transition to renewable",2038,"1%","1.14e+02","Mt CO2 eq."
"Constant",2040,"1%","1.33e+02","Mt CO2 eq."
"Transition to renewable",2040,"1%","1.15e+02","Mt CO2 eq."
"Constant",2042,"1%","1.33e+02","Mt CO2 eq."
"Transition to renewable",2042,"1%","1.16e+02","Mt CO2 eq."
"Constant",2044,"1%","1.34e+02","Mt CO2 eq."
"Transition to renewable",2044,"1%","1.17e+02","Mt CO2 eq."
"Constant",2046,"1%","1.34e+02","Mt CO2 eq."
"Transition to renewable",2046,"1%","1.18e+02","Mt CO2 eq."
"Constant",2048,"1%","1.35e+02","Mt CO2 eq."
"Transition to renewable",2048,"1%","1.20e+02","Mt CO2 eq."
"Constant",2050,"1%","1.35e+02","Mt CO2 eq."
"Transition to renewable",2050,"1%","1.21e+02","Mt CO2 eq."
"Constant",2030,"1.5%","1.15e+02","Mt CO2 eq."
"Transition to renewable",2030,"1.5%","9.49e+01","Mt CO2 eq."
"Constant",2032,"1.5%","1.15e+02","Mt CO2 eq."
"Transition to renewable",2032,"1.5%","9.53e+01","Mt CO2 eq."
"Constant",2034,"1.5%","1.16e+02","Mt CO2 eq."
"Transition to renewable",2034,"1.5%","9.61e+01","Mt CO2 eq."
"Constant",2036,"1.5%","1.16e+02","Mt CO2 eq."
"Transition to renewable",2036,"1.5%","9.70e+01","Mt CO2 eq."
"Constant",2038,"1.5%","1.17e+02","Mt CO2 eq."
"Transition to renewable",2038,"1.5%","9.80e+01","Mt CO2 eq."
"Constant",2040,"1.5%","1.17e+02","Mt CO2 eq."
"Transition to renewable",2040,"1.5%","9.91e+01","Mt CO2 eq."
"Constant",2042,"1.5%","1.18e+02","Mt CO2 eq."
"Transition to renewable",2042,"1.5%","1.00e+02","Mt CO2 eq."
"Constant",2044,"1.5%","1.18e+02","Mt CO2 eq."
"Transition to renewable",2044,"1.5%","1.02e+02","Mt CO2 eq."
"Constant",2046,"1.5%","1.19e+02","Mt CO2 eq."
"Transition to renewable",2046,"1.5%","1.03e+02","Mt CO2 eq."
"Constant",2048,"1.5%","1.19e+02","Mt CO2 eq."
"Transition to renewable",2048,"1.5%","1.04e+02","Mt CO2 eq."
"Constant",2050,"1.5%","1.19e+02","Mt CO2 eq."
"Transition to renewable",2050,"1.5%","1.05e+02","Mt CO2 eq."
"Constant",2030,"2%","1.00e+02","Mt CO2 eq."
"Transition to renewable",2030,"2%","8.02e+01","Mt CO2 eq."
"Constant",2032,"2%","1.00e+02","Mt CO2 eq."
"Transition to renewable",2032,"2%","8.05e+01","Mt CO2 eq."
"Constant",2034,"2%","1.01e+02","Mt CO2 eq."
"Transition to renewable",2034,"2%","8.12e+01","Mt CO2 eq."
"Constant",2036,"2%","1.01e+02","Mt CO2 eq."
"Transition to renewable",2036,"2%","8.21e+01","Mt CO2 eq."
"Constant",2038,"2%","1.01e+02","Mt CO2 eq."
"Transition to renewable",2038,"2%","8.31e+01","Mt CO2 eq."
"Constant",2040,"2%","1.02e+02","Mt CO2 eq."
"Transition to renewable",2040,"2%","8.42e+01","Mt CO2 eq."
"Constant",2042,"2%","1.02e+02","Mt CO2 eq."
"Transition to renewable",2042,"2%","8.53e+01","Mt CO2 eq."
"Constant",2044,"2%","1.03e+02","Mt CO2 eq."
"Transition to renewable",2044,"2%","8.65e+01","Mt CO2 eq."
"Constant",2046,"2%","1.03e+02","Mt CO2 eq."
"Transition to renewable",2046,"2%","8.77e+01","Mt CO2 eq."
"Constant",2048,"2%","1.04e+02","Mt CO2 eq."
"Transition to renewable",2048,"2%","8.88e+01","Mt CO2 eq."
"Constant",2050,"2%","1.04e+02","Mt CO2 eq."
"Transition to renewable",2050,"2%","8.98e+01","Mt CO2 eq."
"Constant",2030,"2.5%","8.93e+01","Mt CO2 eq."
"Transition to renewable",2030,"2.5%","6.97e+01","Mt CO2 eq."
"Constant",2032,"2.5%","8.95e+01","Mt CO2 eq."
"Transition to renewable",2032,"2.5%","7.00e+01","Mt CO2 eq."
"Constant",2034,"2.5%","8.98e+01","Mt CO2 eq."
"Transition to renewable",2034,"2.5%","7.07e+01","Mt CO2 eq."
"Constant",2036,"2.5%","9.02e+01","Mt CO2 eq."
"Transition to renewable",2036,"2.5%","7.16e+01","Mt CO2 eq."
"Constant",2038,"2.5%","9.07e+01","Mt CO2 eq."
"Transition to renewable",2038,"2.5%","7.25e+01","Mt CO2 eq."
"Constant",2040,"2.5%","9.11e+01","Mt CO2 eq."
"Transition to renewable",2040,"2.5%","7.35e+01","Mt CO2 eq."
"Constant",2042,"2.5%","9.16e+01","Mt CO2 eq."
"Transition to renewable",2042,"2.5%","7.46e+01","Mt CO2 eq."
"Constant",2044,"2.5%","9.20e+01","Mt CO2 eq."
"Transition to renewable",2044,"2.5%","7.57e+01","Mt CO2 eq."
"Constant",2046,"2.5%","9.25e+01","Mt CO2 eq."
"Transition to renewable",2046,"2.5%","7.68e+01","Mt CO2 eq."
"Constant",2048,"2.5%","9.29e+01","Mt CO2 eq."
"Transition to renewable",2048,"2.5%","7.78e+01","Mt CO2 eq."
"Constant",2050,"2.5%","9.33e+01","Mt CO2 eq."
"Transition to renewable",2050,"2.5%","7.88e+01","Mt CO2 eq."
"Constant",2030,"3%","8.23e+01","Mt CO2 eq."
"Transition to renewable",2030,"3%","6.27e+01","Mt CO2 eq."
"Constant",2032,"3%","8.24e+01","Mt CO2 eq."
"Transition to renewable",2032,"3%","6.31e+01","Mt CO2 eq."
"Constant",2034,"3%","8.28e+01","Mt CO2 eq."
"Transition to renewable",2034,"3%","6.38e+01","Mt CO2 eq."
"Constant",2036,"3%","8.32e+01","Mt CO2 eq."
"Transition to renewable",2036,"3%","6.46e+01","Mt CO2 eq."
"Constant",2038,"3%","8.36e+01","Mt CO2 eq."
"Transition to renewable",2038,"3%","6.55e+01","Mt CO2 eq."
"Constant",2040,"3%","8.40e+01","Mt CO2 eq."
"Transition to renewable",2040,"3%","6.64e+01","Mt CO2 eq."
"Constant",2042,"3%","8.45e+01","Mt CO2 eq."
"Transition to renewable",2042,"3%","6.75e+01","Mt CO2 eq."
"Constant",2044,"3%","8.49e+01","Mt CO2 eq."
"Transition to renewable",2044,"3%","6.85e+01","Mt CO2 eq."
"Constant",2046,"3%","8.54e+01","Mt CO2 eq."
"Transition to renewable",2046,"3%","6.96e+01","Mt CO2 eq."
"Constant",2048,"3%","8.58e+01","Mt CO2 eq."
"Transition to renewable",2048,"3%","7.07e+01","Mt CO2 eq."
"Constant",2050,"3%","8.62e+01","Mt CO2 eq."
"Transition to renewable",2050,"3%","7.17e+01","Mt CO2 eq."
