"Technology","Age","Value","Year","Mode","Scenario"
"ICEV-G",0,49756,2019,"Private car","Default"
"ICEV-D",0,994,2019,"Private car","Default"
"HEV-G",0,7834,2019,"Private car","Default"
"CNG",0,0,2019,"Private car","Default"
"PHEV",0,84,2019,"Private car","Default"
"BEV",0,484,2019,"Private car","Default"
"ICEV-G",1,66621,2019,"Private car","Default"
"ICEV-D",1,1954,2019,"Private car","Default"
"HEV-G",1,6621,2019,"Private car","Default"
"CNG",1,0,2019,"Private car","Default"
"PHEV",1,160,2019,"Private car","Default"
"BEV",1,221,2019,"Private car","Default"
"ICEV-G",2,58793,2019,"Private car","Default"
"ICEV-D",2,4337,2019,"Private car","Default"
"HEV-G",2,9754,2019,"Private car","Default"
"CNG",2,0,2019,"Private car","Default"
"PHEV",2,69,2019,"Private car","Default"
"BEV",2,267,2019,"Private car","Default"
"ICEV-G",3,56461,2019,"Private car","Default"
"ICEV-D",3,3691,2019,"Private car","Default"
"HEV-G",3,3135,2019,"Private car","Default"
"CNG",3,0,2019,"Private car","Default"
"PHEV",3,12,2019,"Private car","Default"
"BEV",3,10,2019,"Private car","Default"
"ICEV-G",4,39166,2019,"Private car","Default"
"ICEV-D",4,2361,2019,"Private car","Default"
"HEV-G",4,664,2019,"Private car","Default"
"CNG",4,0,2019,"Private car","Default"
"PHEV",4,52,2019,"Private car","Default"
"BEV",4,0,2019,"Private car","Default"
"ICEV-G",5,19696,2019,"Private car","Default"
"ICEV-D",5,1452,2019,"Private car","Default"
"HEV-G",5,596,2019,"Private car","Default"
"CNG",5,0,2019,"Private car","Default"
"PHEV",5,38,2019,"Private car","Default"
"BEV",5,1,2019,"Private car","Default"
"ICEV-G",6,14661,2019,"Private car","Default"
"ICEV-D",6,538,2019,"Private car","Default"
"HEV-G",6,250,2019,"Private car","Default"
"CNG",6,0,2019,"Private car","Default"
"PHEV",6,0,2019,"Private car","Default"
"BEV",6,0,2019,"Private car","Default"
"ICEV-G",7,19271,2019,"Private car","Default"
"ICEV-D",7,248,2019,"Private car","Default"
"HEV-G",7,664,2019,"Private car","Default"
"CNG",7,0,2019,"Private car","Default"
"PHEV",7,0,2019,"Private car","Default"
"BEV",7,0,2019,"Private car","Default"
"ICEV-G",8,21954,2019,"Private car","Default"
"ICEV-D",8,170,2019,"Private car","Default"
"HEV-G",8,392,2019,"Private car","Default"
"CNG",8,0,2019,"Private car","Default"
"PHEV",8,0,2019,"Private car","Default"
"BEV",8,0,2019,"Private car","Default"
"ICEV-G",9,33124,2019,"Private car","Default"
"ICEV-D",9,77,2019,"Private car","Default"
"HEV-G",9,552,2019,"Private car","Default"
"CNG",9,7,2019,"Private car","Default"
"PHEV",9,0,2019,"Private car","Default"
"BEV",9,0,2019,"Private car","Default"
"ICEV-G",10,36733,2019,"Private car","Default"
"ICEV-D",10,14,2019,"Private car","Default"
"HEV-G",10,362,2019,"Private car","Default"
"CNG",10,29,2019,"Private car","Default"
"PHEV",10,0,2019,"Private car","Default"
"BEV",10,0,2019,"Private car","Default"
"ICEV-G",11,35397,2019,"Private car","Default"
"ICEV-D",11,5,2019,"Private car","Default"
"HEV-G",11,364,2019,"Private car","Default"
"CNG",11,178,2019,"Private car","Default"
"PHEV",11,0,2019,"Private car","Default"
"BEV",11,0,2019,"Private car","Default"
"ICEV-G",12,24332,2019,"Private car","Default"
"ICEV-D",12,0,2019,"Private car","Default"
"HEV-G",12,157,2019,"Private car","Default"
"CNG",12,2,2019,"Private car","Default"
"PHEV",12,0,2019,"Private car","Default"
"BEV",12,0,2019,"Private car","Default"
"ICEV-G",13,22345,2019,"Private car","Default"
"ICEV-D",13,0,2019,"Private car","Default"
"HEV-G",13,5,2019,"Private car","Default"
"CNG",13,1,2019,"Private car","Default"
"PHEV",13,0,2019,"Private car","Default"
