"Year","Gasoline use","On road FC"
1990,557671112.006693,9.74140622595919
1991,596537875.181398,9.94720715157253
1992,648036035.076749,10.7255315631263
1993,676356963.852701,10.516899634906
1994,702402752.423059,10.323541233821
1995,835150820.366087,11.4983274604389
1996,847621370.475919,11.0283712133048
1997,800664495.204655,10.076922034334
1998,811127240.879601,10.2557532579224
1999,820176109.669454,10.1488285192613
2000,847756973.637019,10.1936447936315
2001,859829837.626759,10.0199603003576
2002,850307857.070906,9.94454861312976
2003,847859131.492013,9.9035728493701
2004,862127378.736539,9.80142875971077
2005,894798887.14487,9.68698113472238
2006,949971192.721988,9.30305720580244
2007,1017370970.50424,9.26198238756799
2008,1072105903.00798,9.62810634159286
2009,1049348238.53389,9.04156414517703
2010,970308138.36348,8.31321471735851
2011,955122540.872361,8.10539962404563
2012,953592347.567174,8.25286064020085
2013,948040237.524208,8.32089030523494
2014,936313603.530869,8.3878587310076
2015,962103162.430141,8.77049186353944
2016,947587338.984208,8.66155448648245
2017,937240426.403462,8.21855065396798
